Plate,Experiment,Group,Filename,Sample,Workspace,Compensation Source,Plot Title,Gate,X Parameter,Y Parameter,Count,Volume,Concentration,%Total,%Gated,X Mean,Y Mean,X Median,Y Median,X Peak,Y Peak,X SD,Y SD,X %CV,Y %CV,X rSD,Y rSD,X %rCV,Y %rCV
d021524-0min-TrunV-R3,0min,0min,A1.fcs,A1,Experiment,None,N/A,All Events,N/A,N/A,10000,10,1000.000,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
d021524-0min-TrunV-R3,0min,0min,A1.fcs,A1,Experiment,None,,cell,FSC-H,SSC-H,9418,10,941.800,94.180,94.180,508774,110184,491486,102848,449592,97308,160532.71,45041.98,31.55,40.88,158622.63,33134.63,32.27,32.22
d021524-0min-TrunV-R3,0min,0min,A1.fcs,A1,Experiment,None,,CTA1-GFP,FSC-H,FSC-A,4839,10,483.900,48.390,99.938,472346,481533,462880,468274,453746,463784,116353.42,131059.42,24.63,27.22,121988.33,137545.25,26.35,29.37
d021524-0min-TrunV-R3,0min,0min,A1.fcs,A1,Experiment,None,,single cell,FSC-H,FSC-A,4842,10,484.200,48.420,48.420,472489,481791,462981,468299,453746,463784,116494.39,131428.61,24.66,27.28,121969.79,137644.58,26.34,29.39
d021524-0min-TrunV-R3,0min,0min,A1.fcs,A1,Experiment,None,,CTA1-GFP,BL1-H,,4839,10,483.900,48.390,48.390,2719,N/A,2500,N/A,3751,N/A,1388.35,N/A,51.06,N/A,1252.80,N/A,50.11,N/A
d021524-0min-TrunV-R3,0min,0min,A1.fcs,A1,Experiment,None,,single cell,FSC-H,FSC-W,4842,10,484.200,48.420,51.412,472489,88,462981,87,453746,86,116494.39,7.70,24.66,8.78,121969.79,7.41,26.34,8.52
d021524-0min-TrunV-R3,0min,0min,A1.fcs,A1,Experiment,None,,cell,FSC-H,FSC-W,9418,10,941.800,94.180,94.180,508774,106,491486,96,449592,86,160532.71,33.08,31.55,31.33,158622.63,17.79,32.27,18.53
d021524-0min-TrunV-R3,0min,0min,A1.fcs,A1,Experiment,None,,Voltage,BL1-H,,3527,10,352.700,35.270,35.270,4560,N/A,4262,N/A,3629,N/A,1102.35,N/A,24.17,N/A,997.79,N/A,23.41,N/A
d021524-0min-TrunV-R3,0min,0min,A2.fcs,A2,Experiment,None,N/A,All Events,N/A,N/A,30000,29,1034.483,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
d021524-0min-TrunV-R3,0min,0min,A2.fcs,A2,Experiment,None,,cell,FSC-H,SSC-H,27283,29,940.793,90.943,90.943,554166,120837,533545,114865,488641,119691,158236.99,43576.47,28.55,36.06,159708.63,33675.78,29.93,29.32
d021524-0min-TrunV-R3,0min,0min,A2.fcs,A2,Experiment,None,,CTA1-GFP,FSC-H,FSC-A,12909,29,445.138,43.030,99.915,496380,509383,488643,495818,509013,470054,112315.15,132777.74,22.63,26.07,113561.23,139164.25,23.24,28.07
d021524-0min-TrunV-R3,0min,0min,A2.fcs,A2,Experiment,None,,single cell,FSC-H,FSC-A,12920,29,445.517,43.067,43.067,496670,509692,488690,495962,509013,470054,112710.01,133147.44,22.69,26.12,113696.89,139308.80,23.27,28.09
d021524-0min-TrunV-R3,0min,0min,A2.fcs,A2,Experiment,None,,CTA1-GFP,BL1-H,,12909,29,445.138,43.030,43.030,740,N/A,614,N/A,426,N/A,503.16,N/A,67.97,N/A,381.03,N/A,62.06,N/A
d021524-0min-TrunV-R3,0min,0min,A2.fcs,A2,Experiment,None,,single cell,FSC-H,FSC-W,12920,29,445.517,43.067,47.355,496670,88,488690,87,509013,86,112710.01,8.10,22.69,9.20,113696.89,8.90,23.27,10.22
d021524-0min-TrunV-R3,0min,0min,A2.fcs,A2,Experiment,None,,cell,FSC-H,FSC-W,27283,29,940.793,90.943,90.943,554166,112,533545,100,488641,86,158236.99,37.73,28.55,33.71,159708.63,23.72,29.93,23.72
d021524-0min-TrunV-R3,0min,0min,A2.fcs,A2,Experiment,None,,Voltage,BL1-H,,362,29,12.483,1.207,1.207,4089,N/A,3809,N/A,3304,N/A,820.13,N/A,20.06,N/A,624.17,N/A,16.39,N/A
d021524-0min-TrunV-R3,0min,0min,B1.fcs,B1,Experiment,None,N/A,All Events,N/A,N/A,30000,32,937.500,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
d021524-0min-TrunV-R3,0min,0min,B1.fcs,B1,Experiment,None,,cell,FSC-H,SSC-H,28183,32,880.719,93.943,93.943,541287,119435,518763,112264,429045,115709,153890.29,44277.50,28.43,37.07,152793.79,33812.17,29.45,30.12
d021524-0min-TrunV-R3,0min,0min,B1.fcs,B1,Experiment,None,,CTA1-GFP,FSC-H,FSC-A,13748,32,429.625,45.827,99.913,482916,495546,474979,482027,429021,443444,109224.07,128729.18,22.62,25.98,110173.49,133841.71,23.20,27.77
d021524-0min-TrunV-R3,0min,0min,B1.fcs,B1,Experiment,None,,single cell,FSC-H,FSC-A,13760,32,430.000,45.867,45.867,483161,495865,475055,482124,429021,443444,109546.98,129141.79,22.67,26.04,110218.71,133941.05,23.20,27.78
d021524-0min-TrunV-R3,0min,0min,B1.fcs,B1,Experiment,None,,CTA1-GFP,BL1-H,,13748,32,429.625,45.827,45.827,3211,N/A,3008,N/A,3456,N/A,1374.81,N/A,42.82,N/A,1182.37,N/A,39.31,N/A
