Plate,Experiment,Group,Filename,Sample,Workspace,Compensation Source,Plot Title,Gate,X Parameter,Y Parameter,Count,Volume,Concentration,%Total,%Gated,X Mean,Y Mean,X Median,Y Median,X Peak,Y Peak,X SD,Y SD,X %CV,Y %CV,X rSD,Y rSD,X %rCV,Y %rCV
d080421-0min-0Pi-M4S7-R3,0min,0min,A1.fcs,A1,Experiment,None,N/A,All Events,N/A,N/A,30000,38,789.474,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
d080421-0min-0Pi-M4S7-R3,0min,0min,A1.fcs,A1,Experiment,None,,cell,FSC-H,SSC-H,28785,38,757.500,95.950,95.950,468238,133207,434152,122938,386031,128016,150405.00,50933.84,32.12,38.24,137815.08,39156.95,31.74,31.85
d080421-0min-0Pi-M4S7-R3,0min,0min,A1.fcs,A1,Experiment,None,,CTA1-GFP,FSC-H,FSC-A,16675,38,438.816,55.583,99.952,438269,452515,416201,424222,390131,392171,115229.49,134981.68,26.29,29.83,107409.92,127554.01,25.81,30.07
d080421-0min-0Pi-M4S7-R3,0min,0min,A1.fcs,A1,Experiment,None,,single cell,FSC-H,FSC-A,16683,38,439.026,55.610,55.610,438409,452703,416263,424250,390131,392171,115422.89,135245.34,26.33,29.88,107498.88,127648.89,25.82,30.09
d080421-0min-0Pi-M4S7-R3,0min,0min,A1.fcs,A1,Experiment,None,,CTA1-GFP,BL1-H,,16675,38,438.816,55.583,55.583,8535,N/A,7453,N/A,8840,N/A,4672.06,N/A,54.74,N/A,3700.57,N/A,49.65,N/A
d080421-0min-0Pi-M4S7-R3,0min,0min,A1.fcs,A1,Experiment,None,,single cell,FSC-H,FSC-W,16683,38,439.026,55.610,57.957,438409,86,416263,85,390131,86,115422.89,7.70,26.33,8.93,107498.88,7.41,25.82,8.72
d080421-0min-0Pi-M4S7-R3,0min,0min,A1.fcs,A1,Experiment,None,,cell,FSC-H,FSC-W,28785,38,757.500,95.950,95.950,468238,103,434152,92,386031,86,150405.00,41.33,32.12,40.30,137815.08,14.83,31.74,16.12
d080421-0min-0Pi-M4S7-R3,0min,0min,A2.fcs,A2,Experiment,None,N/A,All Events,N/A,N/A,30000,42,714.286,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
d080421-0min-0Pi-M4S7-R3,0min,0min,A2.fcs,A2,Experiment,None,,cell,FSC-H,SSC-H,28679,42,682.833,95.597,95.597,460994,136987,427962,124171,369571,125979,150415.28,55027.01,32.63,40.17,146027.20,41373.43,34.12,33.32
d080421-0min-0Pi-M4S7-R3,0min,0min,A2.fcs,A2,Experiment,None,,CTA1-GFP,FSC-H,FSC-A,14801,42,352.405,49.337,99.946,431517,447344,405079,416333,369610,378012,117096.47,137003.63,27.14,30.63,113561.23,134528.16,28.03,32.31
