"Genotype","pi.area","h2o2.area","pi_pcnt","h2o2_pcnt"
"RS1 200-1000",273.783682010862,486.332012709078,0.107644671171013,0.0731175151431432
"RS1 200-400",1197.69075466236,3768.4817321103,0.470901065042571,0.566571833466906
"RS1 200-600",1238.47535500105,2630.75656615009,0.486936516315836,0.395520710207634
"RS1 200-800",611.367336888203,1320.74316601809,0.240373843541988,0.198566937643273
"WT",2543.40209350361,6651.37500579689,1,1
