"Genotype","pi.area","h2o2.area","pi_pcnt","h2o2_pcnt"
"10OL",3395.42714608168,8784.16705885029,0.685419893609864,0.719054956041863
"4OL",3262.69562967364,8051.28230778241,0.658625968150424,0.659062425283705
"6OL",6186.13991702296,12614.1232872211,1.24876876497694,1.03256777848514
"8OL",3304.38093946347,11058.0136130421,0.667040797676131,0.905187644903122
"PC",5264.31742655711,11942.5395072603,1.06268452692418,0.97759322686939
"WT",4953.79135875261,12216.2666219616,1,1
