Replicate,Plate,Group,Sample,Count,median,peak,sd,cv,rCV
Rep1-H2O2-Rep3-0Pi,d071721-0min-0Pi-S7Y1-R3,0min,C1,17126,5036,7361,5064.21,78.85,62.18
Rep1-H2O2-Rep3-0Pi,d071721-0min-0Pi-S7Y1-R3,0min,C3,16104,5051,5097,4839.05,75.61,59.54
Rep1-H2O2-Rep3-0Pi,d071721-0min-0Pi-S7Y1-R3,0min,D1,17518,4607,5511,3866.2,68.46,56.47
Rep1-H2O2-Rep3-0Pi,d071721-0min-0Pi-S7Y1-R3,0min,D3,16415,4580,4578,3626.53,65.6,54.25
Rep1-H2O2-Rep3-0Pi,d071721-0min-0Pi-S7Y1-R3,0min,E1,17466,4684,7240,3871.17,67.63,57.8
Rep1-H2O2-Rep3-0Pi,d071721-0min-0Pi-S7Y1-R3,0min,E3,16569,4725,5805,3908.9,67.3,55.54
Rep1-H2O2-Rep3-0Pi,d071721-0min-0Pi-S7Y1-R3,0min,F1,15983,7109,8112,6580,74.33,55.95
Rep1-H2O2-Rep3-0Pi,d071721-0min-0Pi-S7Y1-R3,0min,F3,15857,7220,7023,6117.85,69.1,53.66
Rep1-H2O2-Rep3-0Pi,d071721-0min-0Pi-S7Y1-R3,0min,G1,16082,6645,7978,4826.17,61.68,53.3
Rep1-H2O2-Rep3-0Pi,d071721-0min-0Pi-S7Y1-R3,0min,G3,16058,6582,8251,4727.85,60.75,51.15
Rep1-H2O2-Rep3-0Pi,d071721-0min-0Pi-S7Y1-R3,0min,H1,16016,6774,7478,4895.05,61.17,52.13
Rep1-H2O2-Rep3-0Pi,d071721-0min-0Pi-S7Y1-R3,0min,H3,15416,6897,6915,4758.61,59,49.48
Rep2-H2O2-Rep4-0Pi,d072021-0min-H2O2-S7Y1-R2,0min,A1,17521,7099,7731,3822.96,48.27,43.06
Rep2-H2O2-Rep4-0Pi,d072021-0min-H2O2-S7Y1-R2,0min,A2,18959,4805,5578,2998.8,54.77,48.07
Rep2-H2O2-Rep4-0Pi,d072021-0min-H2O2-S7Y1-R2,0min,A3,18178,7150,8672,3837.44,48.26,42.93
Rep2-H2O2-Rep4-0Pi,d072021-0min-H2O2-S7Y1-R2,0min,A4,17038,4832,5430,2867,52.44,46.24
Rep2-H2O2-Rep4-0Pi,d072021-0min-H2O2-S7Y1-R2,0min,B1,19719,7821,8533,3924.03,45.74,40.89
Rep2-H2O2-Rep4-0Pi,d072021-0min-H2O2-S7Y1-R2,0min,B2,19321,4741,5501,3069.92,56.2,50.66
Rep2-H2O2-Rep4-0Pi,d072021-0min-H2O2-S7Y1-R2,0min,B3,19734,8070,7849,3920.01,44.42,39.75
Rep2-H2O2-Rep4-0Pi,d072021-0min-H2O2-S7Y1-R2,0min,B4,19416,4861,5576,2995.46,53.76,47.55
Rep2-H2O2-Rep4-0Pi,d072021-0min-H2O2-S7Y1-R2,0min,C1,20215,4697,5094,3957.23,69.63,54.29
Rep2-H2O2-Rep4-0Pi,d072021-0min-H2O2-S7Y1-R2,0min,C3,16476,4817,6326,3966.4,67.98,52.78
Rep2-H2O2-Rep4-0Pi,d072021-0min-H2O2-S7Y1-R2,0min,D1,19702,4666,5428,3879.01,68.74,53.83
Rep2-H2O2-Rep4-0Pi,d072021-0min-H2O2-S7Y1-R2,0min,D3,16764,4769,5428,4053.27,69.87,52.68
Rep2-H2O2-Rep4-0Pi,d072021-0min-H2O2-S7Y1-R2,0min,E1,16938,4824,6146,4081.57,69.25,54.12
Rep2-H2O2-Rep4-0Pi,d072021-0min-H2O2-S7Y1-R2,0min,E3,17488,4872,5972,3863,65.93,51.22
Rep2-H2O2-Rep4-0Pi,d072021-0min-H2O2-S7Y1-R2,0min,F1,17556,6452,6912,4023.99,54.52,47.46
Rep2-H2O2-Rep4-0Pi,d072021-0min-H2O2-S7Y1-R2,0min,F3,17123,6623,7128,3853.75,51.29,45.35
Rep2-H2O2-Rep4-0Pi,d072021-0min-H2O2-S7Y1-R2,0min,G1,18995,6885,7728,4582.92,57.97,47.85
Rep2-H2O2-Rep4-0Pi,d072021-0min-H2O2-S7Y1-R2,0min,G3,17004,7193,7980,4503.82,54.73,46.09
Rep2-H2O2-Rep4-0Pi,d072021-0min-H2O2-S7Y1-R2,0min,H1,17731,6486,6508,4023.22,54.5,46.45
Rep2-H2O2-Rep4-0Pi,d072021-0min-H2O2-S7Y1-R2,0min,H3,17337,6849,6319,4021.2,52.23,44.22
Rep3-H2O2-Ctrl,d072221-0min-H2O2-S7Y1-R3,0min,A1,17478,7772,8993,4766.2,53.72,46.21
Rep3-H2O2-Ctrl,d072221-0min-H2O2-S7Y1-R3,0min,A2,17205,4726,5803,3681.2,64.53,56.53
Rep3-H2O2-Ctrl,d072221-0min-H2O2-S7Y1-R3,0min,A3,17259,7771,9308,4535.14,51.43,45.12
Rep3-H2O2-Ctrl,d072221-0min-H2O2-S7Y1-R3,0min,A4,18071,4585,4909,3214.38,59.6,51.74
Rep3-H2O2-Ctrl,d072221-0min-H2O2-S7Y1-R3,0min,B1,17121,8220,7727,4590.49,49.6,43.34
Rep3-H2O2-Ctrl,d072221-0min-H2O2-S7Y1-R3,0min,B2,17128,4805,5432,3591.41,62.65,55.07
Rep3-H2O2-Ctrl,d072221-0min-H2O2-S7Y1-R3,0min,B3,17430,8188,8997,4387.14,47.98,41.58
Rep3-H2O2-Ctrl,d072221-0min-H2O2-S7Y1-R3,0min,B4,17219,4788,5970,3264.33,58.35,51.71
Rep3-H2O2-Ctrl,d072221-0min-H2O2-S7Y1-R3,0min,C1,17698,5104,6323,4014.75,65.75,56.06
Rep3-H2O2-Ctrl,d072221-0min-H2O2-S7Y1-R3,0min,C3,17363,5101,5432,3977.63,64.94,55.22
Rep3-H2O2-Ctrl,d072221-0min-H2O2-S7Y1-R3,0min,D1,17598,4725,5289,3511.81,62.5,53.65
Rep3-H2O2-Ctrl,d072221-0min-H2O2-S7Y1-R3,0min,D3,18033,4820,5293,3434.35,60.65,52.08
Rep3-H2O2-Ctrl,d072221-0min-H2O2-S7Y1-R3,0min,E1,17287,4926,6608,3695.96,62.89,54.39
Rep3-H2O2-Ctrl,d072221-0min-H2O2-S7Y1-R3,0min,E3,17978,4921,5293,3616.75,61.94,52.84
Rep3-H2O2-Ctrl,d072221-0min-H2O2-S7Y1-R3,0min,F1,16837,6601,7354,4457.29,57.79,51.16
Rep3-H2O2-Ctrl,d072221-0min-H2O2-S7Y1-R3,0min,F3,17462,6838,6707,4521.33,56.88,49.88
Rep3-H2O2-Ctrl,d072221-0min-H2O2-S7Y1-R3,0min,G1,17097,6554,6911,4366.99,57.29,50.33
Rep3-H2O2-Ctrl,d072221-0min-H2O2-S7Y1-R3,0min,G3,17213,6727,6512,4321.15,55.38,48.73
Rep3-H2O2-Ctrl,d072221-0min-H2O2-S7Y1-R3,0min,H1,17032,6726,7132,4470.13,56.97,50.02
Rep3-H2O2-Ctrl,d072221-0min-H2O2-S7Y1-R3,0min,H3,16481,7021,8111,4715.57,57.9,48.27
Rep1-0Pi-Ctrl,d071021-30min-0Pi-SKY1-R1,30min,A5,14243,8086,9152,3932.16,44.57,41.71
Rep1-0Pi-Ctrl,d071021-30min-0Pi-SKY1-R1,30min,A6,14825,5326,5573,2961.74,50.08,46.43
Rep1-0Pi-Ctrl,d071021-30min-0Pi-SKY1-R1,30min,A7,13626,8455,8393,4053.14,44.05,41.41
Rep1-0Pi-Ctrl,d071021-30min-0Pi-SKY1-R1,30min,A8,14972,5213,5360,2940.91,50.64,46.4
Rep1-0Pi-Ctrl,d071021-30min-0Pi-SKY1-R1,30min,B5,13806,8894,9150,4331.99,44.85,40.61
Rep1-0Pi-Ctrl,d071021-30min-0Pi-SKY1-R1,30min,B6,14913,5185,6237,3024.85,51.99,47.27
Rep1-0Pi-Ctrl,d071021-30min-0Pi-SKY1-R1,30min,B7,13806,9491,10398,4557.06,44.26,38.98
Rep1-0Pi-Ctrl,d071021-30min-0Pi-SKY1-R1,30min,B8,14968,5263,6700,3017.02,51.5,47.3
Rep1-0Pi-Ctrl,d071021-30min-0Pi-SKY1-R1,30min,C5,14986,5342,6512,4922.22,75.46,51.77
Rep1-0Pi-Ctrl,d071021-30min-0Pi-SKY1-R1,30min,C7,14127,5542,6232,4740.92,71.32,52.01
Rep1-0Pi-Ctrl,d071021-30min-0Pi-SKY1-R1,30min,D5,14957,5068,5360,4085.12,68.11,49.32
Rep1-0Pi-Ctrl,d071021-30min-0Pi-SKY1-R1,30min,D7,15037,4963,5965,4082.81,69.61,49.32
Rep1-0Pi-Ctrl,d071021-30min-0Pi-SKY1-R1,30min,E5,14788,5306,6499,5449.47,82.2,51.94
Rep1-0Pi-Ctrl,d071021-30min-0Pi-SKY1-R1,30min,E7,13937,5627,5736,5636.71,81.1,51.43
Rep1-0Pi-Ctrl,d071021-30min-0Pi-SKY1-R1,30min,F5,14485,7199,7474,6163.83,72.15,46.3
Rep1-0Pi-Ctrl,d071021-30min-0Pi-SKY1-R1,30min,F7,12935,7750,8988,6191.11,67.79,48.82
Rep1-0Pi-Ctrl,d071021-30min-0Pi-SKY1-R1,30min,G5,14760,6988,7720,3747.67,48.48,44
Rep1-0Pi-Ctrl,d071021-30min-0Pi-SKY1-R1,30min,G7,13711,7229,8986,4118.86,51.31,44.63
Rep1-0Pi-Ctrl,d071021-30min-0Pi-SKY1-R1,30min,H5,14731,6912,7359,3944.32,51.35,44.06
Rep1-0Pi-Ctrl,d071021-30min-0Pi-SKY1-R1,30min,H7,13472,7335,8686,4132.37,50.93,44.47
Rep2-0Pi-Ctrl,d071621-30min-0Pi-SKY1-R2,30min,A5,13940,8907,9826,4143.14,43.03,40.29
Rep2-0Pi-Ctrl,d071621-30min-0Pi-SKY1-R2,30min,A6,14952,5412,5891,2872.82,48.08,43.06
Rep2-0Pi-Ctrl,d071621-30min-0Pi-SKY1-R2,30min,A7,14554,9475,9651,4298.47,42.08,39.3
Rep2-0Pi-Ctrl,d071621-30min-0Pi-SKY1-R2,30min,A8,14624,6031,6908,3130.55,47.11,43.43
Rep2-0Pi-Ctrl,d071621-30min-0Pi-SKY1-R2,30min,B5,14195,8446,10785,4326.15,47.05,46.15
Rep2-0Pi-Ctrl,d071621-30min-0Pi-SKY1-R2,30min,B6,15125,5786,6599,3085.99,48.37,44.48
Rep2-0Pi-Ctrl,d071621-30min-0Pi-SKY1-R2,30min,B7,13949,8894,10795,4493.91,46.52,45.51
Rep2-0Pi-Ctrl,d071621-30min-0Pi-SKY1-R2,30min,B8,13953,6008,7478,3168.92,47.94,44.42
Rep2-0Pi-Ctrl,d071621-30min-0Pi-SKY1-R2,30min,C5,15457,5808,6234,3103.56,48.19,43.86
Rep2-0Pi-Ctrl,d071621-30min-0Pi-SKY1-R2,30min,C7,14523,6007,7246,3154.4,47.57,43.29
Rep2-0Pi-Ctrl,d071621-30min-0Pi-SKY1-R2,30min,D5,15006,5841,7134,4163.47,61.41,47.26
Rep2-0Pi-Ctrl,d071621-30min-0Pi-SKY1-R2,30min,D7,13871,6169,7725,4202.63,59.47,45.04
Rep2-0Pi-Ctrl,d071621-30min-0Pi-SKY1-R2,30min,E5,15210,5425,6056,3033.03,50.13,44.95
Rep2-0Pi-Ctrl,d071621-30min-0Pi-SKY1-R2,30min,E7,14252,5927,7239,3353,50.64,43.78
Rep2-0Pi-Ctrl,d071621-30min-0Pi-SKY1-R2,30min,F5,14446,8042,8120,4574.5,50.87,44.63
Rep2-0Pi-Ctrl,d071621-30min-0Pi-SKY1-R2,30min,F7,13298,8453,8827,4983.27,53.12,43.61
Rep2-0Pi-Ctrl,d071621-30min-0Pi-SKY1-R2,30min,G5,14959,7840,7719,4049.43,46.91,42.57
Rep2-0Pi-Ctrl,d071621-30min-0Pi-SKY1-R2,30min,G7,13338,8119,8249,4151.6,46.73,42.27
Rep2-0Pi-Ctrl,d071621-30min-0Pi-SKY1-R2,30min,H5,14878,7817,8835,4053.33,47.43,43.73
Rep2-0Pi-Ctrl,d071621-30min-0Pi-SKY1-R2,30min,H7,12978,8013,9154,4121.28,46.95,43.41
Rep1-H2O2-Rep3-0Pi,d071721-30min-0Pi-SKY1-R3,30min,A5,14278,23663,29471,12103.72,51.59,50.91
Rep1-H2O2-Rep3-0Pi,d071721-30min-0Pi-SKY1-R3,30min,A6,15202,4896,5645,3711.81,63.46,57.92
Rep1-H2O2-Rep3-0Pi,d071721-30min-0Pi-SKY1-R3,30min,A7,14754,9875,10013,4590.66,42.8,39.55
Rep1-H2O2-Rep3-0Pi,d071721-30min-0Pi-SKY1-R3,30min,A8,14803,6124,6917,3328.82,48.89,44.84
Rep1-H2O2-Rep3-0Pi,d071721-30min-0Pi-SKY1-R3,30min,B5,14050,29146,30885,9748.8,32.68,26.43
