Replicate,Plate,Group,Sample,Count,median,peak,sd,cv,rCV
Rep1-0Pi-Ctrl,d060521-90min-0Pi-M24KO,90min,B4,10454,6972,7845,3775.95,49.37,48.98
Rep1-0Pi-Ctrl,d060521-90min-0Pi-M24KO,90min,C4,9835,7684,9651,4707.54,54.46,52.83
Rep1-0Pi-Ctrl,d060521-90min-0Pi-M24KO,90min,H1,11789,17676,17883,6897.28,37.62,38.45
Rep2-0Pi-Rep1-H2O2,d060621-90min-0Pi-M24KO,90min,A1,11233,21164,25046,8395.94,37.62,37.93
Rep2-0Pi-Rep1-H2O2,d060621-90min-0Pi-M24KO,90min,A2,11022,13517,12844,5650.47,39.41,36.56
Rep2-0Pi-Rep1-H2O2,d060621-90min-0Pi-M24KO,90min,B1,11137,20493,21857,7754.3,36.13,37.38
Rep2-0Pi-Rep1-H2O2,d060621-90min-0Pi-M24KO,90min,B2,13260,15723,16777,6069.6,37.35,37.12
Rep2-0Pi-Rep1-H2O2,d060621-90min-0Pi-M24KO,90min,C1,12261,22304,26820,9062.82,38.41,39.09
Rep2-0Pi-Rep1-H2O2,d060621-90min-0Pi-M24KO,90min,D1,12616,22585,25049,8836.01,37.22,38.04
Rep2-0Pi-Rep1-H2O2,d060621-90min-0Pi-M24KO,90min,E1,13255,19962,21844,8469.03,39.56,38.08
Rep2-0Pi-Rep1-H2O2,d060621-90min-0Pi-M24KO,90min,F1,11919,16614,18306,6347.72,36.65,36.76
Rep2-0Pi-Rep1-H2O2,d060621-90min-0Pi-M24KO,90min,G1,12227,16469,16421,6249.98,36.46,37.03
Rep2-0Pi-Rep1-H2O2,d060621-90min-0Pi-M24KO,90min,C2,13808,17082,19129,7505.51,41.39,41.57
Rep2-0Pi-Rep1-H2O2,d060621-90min-0Pi-M24KO,90min,A3,11035,87246,89969,46378.38,53.18,47.43
Rep2-0Pi-Rep1-H2O2,d060621-90min-0Pi-M24KO,90min,B3,10056,81552,79196,31408.74,36.04,34.68
Rep2-0Pi-Rep1-H2O2,d060621-90min-0Pi-M24KO,90min,C3,11689,91774,102370,49098.41,53.77,48.45
Rep2-0Pi-Rep1-H2O2,d060621-90min-0Pi-M24KO,90min,D3,11743,92737,97315,46617.29,49.64,43.95
Rep2-0Pi-Rep1-H2O2,d060621-90min-0Pi-M24KO,90min,E3,12841,83775,94714,42035.1,49.56,41.68
Rep2-0Pi-Rep1-H2O2,d060621-90min-0Pi-M24KO,90min,F3,12326,76979,105083,51663.92,67.96,73.43
Rep2-0Pi-Rep1-H2O2,d060621-90min-0Pi-M24KO,90min,G3,12826,71520,107793,52393.79,74.11,88.77
Rep2-0Pi-Rep1-H2O2,d060621-90min-0Pi-M24KO,90min,H3,12121,74359,102522,54024.6,73.57,86.93
Rep2-0Pi-Rep1-H2O2,d060621-90min-0Pi-M24KO,90min,A4,10491,14209,99755,51688.25,108.3,125.72
Rep2-0Pi-Rep1-H2O2,d060621-90min-0Pi-M24KO,90min,B4,14200,72502,90129,46935.75,67.8,67.83
Rep2-0Pi-Rep1-H2O2,d060621-90min-0Pi-M24KO,90min,C4,12424,88133,110777,57096.25,69.45,65.82
Rep2-0Pi-Rep1-H2O2,d060621-90min-0Pi-M24KO,90min,H1,12036,16173,17533,6432.74,38.13,38.75
Rep3-0Pi-Rep2-H2O2,d061221-90min-0Pi-M24KO,90min,A1,11907,19681,21856,8251.83,39.59,40.43
Rep3-0Pi-Rep2-H2O2,d061221-90min-0Pi-M24KO,90min,A2,14256,14816,16798,6072.19,39.12,39.19
Rep3-0Pi-Rep2-H2O2,d061221-90min-0Pi-M24KO,90min,B1,12045,19493,21843,7860.77,38.2,38.36
Rep3-0Pi-Rep2-H2O2,d061221-90min-0Pi-M24KO,90min,B2,14229,14744,16428,6225.45,40.18,40.72
Rep3-0Pi-Rep2-H2O2,d061221-90min-0Pi-M24KO,90min,C1,13285,21145,24456,8831.24,39.52,40.06
Rep3-0Pi-Rep2-H2O2,d061221-90min-0Pi-M24KO,90min,D1,12863,21199,22350,8864.64,39.43,39.75
Rep3-0Pi-Rep2-H2O2,d061221-90min-0Pi-M24KO,90min,E1,12985,20480,19128,8644.38,39.52,39.86
Rep3-0Pi-Rep2-H2O2,d061221-90min-0Pi-M24KO,90min,F1,13246,14598,15112,6082.19,39.64,40.3
Rep3-0Pi-Rep2-H2O2,d061221-90min-0Pi-M24KO,90min,G1,13133,14817,17504,6151.46,39.69,40.67
Rep3-0Pi-Rep2-H2O2,d061221-90min-0Pi-M24KO,90min,C2,13515,16440,16434,7008.24,40.26,40.84
Rep3-0Pi-Rep2-H2O2,d061221-90min-0Pi-M24KO,90min,A3,12268,81196,85426,43048.01,52.71,45.17
Rep3-0Pi-Rep2-H2O2,d061221-90min-0Pi-M24KO,90min,B3,10382,81675,81306,31407.23,36.12,34.55
Rep3-0Pi-Rep2-H2O2,d061221-90min-0Pi-M24KO,90min,C3,12366,87820,94864,51083.04,58.03,54.08
Rep3-0Pi-Rep2-H2O2,d061221-90min-0Pi-M24KO,90min,D3,12277,95416,105041,51217.47,53.81,50.36
Rep3-0Pi-Rep2-H2O2,d061221-90min-0Pi-M24KO,90min,E3,12912,87611,99844,48349.12,54.7,49.36
Rep3-0Pi-Rep2-H2O2,d061221-90min-0Pi-M24KO,90min,F3,14225,65857,99874,55853.99,83.13,116.59
Rep3-0Pi-Rep2-H2O2,d061221-90min-0Pi-M24KO,90min,G3,14532,55258,94661,55052.35,88.76,124.52
Rep3-0Pi-Rep2-H2O2,d061221-90min-0Pi-M24KO,90min,H3,14120,51708,99770,58661.07,93.52,129.18
Rep3-0Pi-Rep2-H2O2,d061221-90min-0Pi-M24KO,90min,A4,13573,55094,94772,52581.04,88.79,124.26
Rep3-0Pi-Rep2-H2O2,d061221-90min-0Pi-M24KO,90min,B4,14574,59849,94757,56898.5,89.04,123.78
Rep3-0Pi-Rep2-H2O2,d061221-90min-0Pi-M24KO,90min,C4,13000,54568,105130,62255.31,95.27,130.72
Rep3-0Pi-Rep2-H2O2,d061221-90min-0Pi-M24KO,90min,H1,13166,15675,16088,6456.45,39.34,39.82
Rep3-H2O2-Ctrl,d062621-90min-H2O2-M24KO,90min,A1,11096,81888,97331,50718.32,63.54,64.08
Rep3-H2O2-Ctrl,d062621-90min-H2O2-M24KO,90min,A2,13000,46613,102490,53365.32,94.3,130.72
Rep3-H2O2-Ctrl,d062621-90min-H2O2-M24KO,90min,A3,11083,8966,9831,5299.81,53.24,50.33
Rep3-H2O2-Ctrl,d062621-90min-H2O2-M24KO,90min,A4,11361,6372,6508,3561.32,50.55,49.09
Rep3-H2O2-Ctrl,d062621-90min-H2O2-M24KO,90min,B1,9634,79278,73408,29484.39,35.02,34.35
Rep3-H2O2-Ctrl,d062621-90min-H2O2-M24KO,90min,B2,12068,39627,102343,54953.31,97.68,131.68
Rep3-H2O2-Ctrl,d062621-90min-H2O2-M24KO,90min,B3,10316,10957,12836,5451.95,46.01,46.71
Rep3-H2O2-Ctrl,d062621-90min-H2O2-M24KO,90min,B4,11658,6681,7984,3589.26,49.17,48.86
Rep3-H2O2-Ctrl,d062621-90min-H2O2-M24KO,90min,C1,11321,80903,90178,51175.42,64.2,67.77
Rep3-H2O2-Ctrl,d062621-90min-H2O2-M24KO,90min,C2,11079,48336,126177,64062.03,98.96,134.59
Rep3-H2O2-Ctrl,d062621-90min-H2O2-M24KO,90min,C3,10055,9837,10782,5444.51,50.76,49.56
Rep3-H2O2-Ctrl,d062621-90min-H2O2-M24KO,90min,C4,10251,7115,7598,4285.79,53.82,52.55
Rep3-H2O2-Ctrl,d062621-90min-H2O2-M24KO,90min,D1,12558,77754,92577,44845.76,59.21,51.62
Rep3-H2O2-Ctrl,d062621-90min-H2O2-M24KO,90min,D3,10212,10161,11178,5425.46,49.02,49.78
Rep3-H2O2-Ctrl,d062621-90min-H2O2-M24KO,90min,E1,12278,80838,97340,50978.9,63.96,63.68
