Plate,Experiment,Group,Filename,Sample,Workspace,Compensation Source,Plot Title,Gate,X Parameter,Y Parameter,Count,Volume,Concentration,%Total,%Gated,X Mean,Y Mean,X Median,Y Median,X Peak,Y Peak,X SD,Y SD,X %CV,Y %CV,X rSD,Y rSD,X %rCV,Y %rCV
d071021-0min-0Pi-S7Y1-R1,0min,0min,A1.fcs,A1,Experiment,None,N/A,All Events,N/A,N/A,30000,36,833.333,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
d071021-0min-0Pi-S7Y1-R1,0min,0min,A1.fcs,A1,Experiment,None,,cell,FSC-H,SSC-H,27786,36,771.833,92.620,92.620,500390,138235,467741,125481,390137,125968,159799.04,54651.31,31.93,39.54,160524.81,41520.21,34.32,33.09
d071021-0min-0Pi-S7Y1-R1,0min,0min,A1.fcs,A1,Experiment,None,,CTA1-GFP,FSC-H,FSC-A,16396,36,455.444,54.653,99.848,459325,479759,438788,452694,390151,408611,119944.81,143033.46,26.11,29.81,119035.73,144718.81,27.13,31.97
d071021-0min-0Pi-S7Y1-R1,0min,0min,A1.fcs,A1,Experiment,None,,single cell,FSC-H,FSC-A,16421,36,456.139,54.737,54.737,459752,480388,438991,452901,390151,408611,120419.41,143854.78,26.19,29.95,119248.48,145096.13,27.16,32.04
d071021-0min-0Pi-S7Y1-R1,0min,0min,A1.fcs,A1,Experiment,None,,CTA1-GFP,BL1-H,,16396,36,455.444,54.653,54.653,6825,N/A,5896,N/A,6813,N/A,3853.32,N/A,56.46,N/A,2891.07,N/A,49.03,N/A
d071021-0min-0Pi-S7Y1-R1,0min,0min,A1.fcs,A1,Experiment,None,,single cell,FSC-H,FSC-W,16421,36,456.139,54.737,59.098,459752,86,438991,84,390151,87,120419.41,8.75,26.19,10.21,119248.48,8.90,27.16,10.59
d071021-0min-0Pi-S7Y1-R1,0min,0min,A1.fcs,A1,Experiment,None,,cell,FSC-H,FSC-W,27786,36,771.833,92.620,92.620,500390,102,467741,91,390137,87,159799.04,41.39,31.93,40.39,160524.81,16.31,34.32,17.92
d071021-0min-0Pi-S7Y1-R1,0min,0min,A2.fcs,A2,Experiment,None,N/A,All Events,N/A,N/A,30000,40,750.000,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
d071021-0min-0Pi-S7Y1-R1,0min,0min,A2.fcs,A2,Experiment,None,,cell,FSC-H,SSC-H,28207,40,705.175,94.023,94.023,494956,135517,459995,123517,392202,127993,153760.94,52677.82,31.07,38.87,148495.73,38488.30,32.28,31.16
d071021-0min-0Pi-S7Y1-R1,0min,0min,A2.fcs,A2,Experiment,None,,CTA1-GFP,FSC-H,FSC-A,16935,40,423.375,56.450,99.882,455200,475309,434019,448017,392196,404365,116607.54,139410.70,25.62,29.33,112188.34,137128.64,25.85,30.61
d071021-0min-0Pi-S7Y1-R1,0min,0min,A2.fcs,A2,Experiment,None,,single cell,FSC-H,FSC-A,16955,40,423.875,56.517,56.517,455490,475767,434130,448225,392196,404365,116936.40,140010.98,25.67,29.43,112384.04,137407.37,25.89,30.66
d071021-0min-0Pi-S7Y1-R1,0min,0min,A2.fcs,A2,Experiment,None,,CTA1-GFP,BL1-H,,16935,40,423.375,56.450,56.450,4409,N/A,3656,N/A,4853,N/A,2831.74,N/A,64.22,N/A,2043.02,N/A,55.88,N/A
d071021-0min-0Pi-S7Y1-R1,0min,0min,A2.fcs,A2,Experiment,None,,single cell,FSC-H,FSC-W,16955,40,423.875,56.517,60.109,455490,86,434130,84,392196,86,116936.40,8.46,25.67,9.89,112384.04,8.90,25.89,10.59
d071021-0min-0Pi-S7Y1-R1,0min,0min,A2.fcs,A2,Experiment,None,,cell,FSC-H,FSC-W,28207,40,705.175,94.023,94.023,494956,102,459995,91,392202,92,153760.94,39.67,31.07,38.94,148495.73,14.83,32.28,16.29
d071021-0min-0Pi-S7Y1-R1,0min,0min,A3.fcs,A3,Experiment,None,N/A,All Events,N/A,N/A,30000,46,652.174,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
d071021-0min-0Pi-S7Y1-R1,0min,0min,A3.fcs,A3,Experiment,None,,cell,FSC-H,SSC-H,26957,46,586.022,89.857,89.857,520022,141562,487704,129293,435278,123928,161858.50,54461.20,31.13,38.47,164964.45,42037.64,33.82,32.51
d071021-0min-0Pi-S7Y1-R1,0min,0min,A3.fcs,A3,Experiment,None,,CTA1-GFP,FSC-H,FSC-A,16152,46,351.130,53.840,99.839,470762,491901,451956,466993,414605,400394,120264.92,144349.77,25.55,29.35,119514.61,147647.68,26.44,31.62
d071021-0min-0Pi-S7Y1-R1,0min,0min,A3.fcs,A3,Experiment,None,,single cell,FSC-H,FSC-A,16178,46,351.696,53.927,53.927,471275,492580,452194,467217,414605,400394,120895.18,145249.43,25.65,29.49,119868.21,148002.02,26.51,31.68
d071021-0min-0Pi-S7Y1-R1,0min,0min,A3.fcs,A3,Experiment,None,,CTA1-GFP,BL1-H,,16152,46,351.130,53.840,53.840,6848,N/A,5944,N/A,7479,N/A,3781.59,N/A,55.22,N/A,2801.37,N/A,47.13,N/A
d071021-0min-0Pi-S7Y1-R1,0min,0min,A3.fcs,A3,Experiment,None,,single cell,FSC-H,FSC-W,16178,46,351.696,53.927,60.014,471275,86,452194,85,414605,87,120895.18,8.86,25.65,10.27,119868.21,8.90,26.51,10.47
d071021-0min-0Pi-S7Y1-R1,0min,0min,A3.fcs,A3,Experiment,None,,cell,FSC-H,FSC-W,26957,46,586.022,89.857,89.857,520022,102,487704,92,435278,93,161858.50,36.52,31.13,35.83,164964.45,16.31,33.82,17.73
d071021-0min-0Pi-S7Y1-R1,0min,0min,A4.fcs,A4,Experiment,None,N/A,All Events,N/A,N/A,30000,45,666.667,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
d071021-0min-0Pi-S7Y1-R1,0min,0min,A4.fcs,A4,Experiment,None,,cell,FSC-H,SSC-H,27538,45,611.956,91.793,91.793,514581,138291,480685,127305,431019,128024,155212.38,52358.66,30.16,37.86,152269.69,39234.04,31.68,30.82
d071021-0min-0Pi-S7Y1-R1,0min,0min,A4.fcs,A4,Experiment,None,,CTA1-GFP,FSC-H,FSC-A,16626,45,369.467,55.420,99.844,469522,488914,448601,461034,410539,418808,116362.75,139654.73,24.78,28.56,112662.03,139226.52,25.11,30.20
d071021-0min-0Pi-S7Y1-R1,0min,0min,A4.fcs,A4,Experiment,None,,single cell,FSC-H,FSC-A,16652,45,370.044,55.507,55.507,469975,489551,448919,461443,410539,418808,116898.03,140492.02,24.87,28.70,113040.09,139452.61,25.18,30.22
d071021-0min-0Pi-S7Y1-R1,0min,0min,A4.fcs,A4,Experiment,None,,CTA1-GFP,BL1-H,,16626,45,369.467,55.420,55.420,4428,N/A,3691,N/A,4194,N/A,2864.67,N/A,64.69,N/A,2019.30,N/A,54.72,N/A
d071021-0min-0Pi-S7Y1-R1,0min,0min,A4.fcs,A4,Experiment,None,,single cell,FSC-H,FSC-W,16652,45,370.044,55.507,60.469,469975,86,448919,84,410539,86,116898.03,8.67,24.87,10.09,113040.09,8.90,25.18,10.59
d071021-0min-0Pi-S7Y1-R1,0min,0min,A4.fcs,A4,Experiment,None,,cell,FSC-H,FSC-W,27538,45,611.956,91.793,91.793,514581,102,480685,92,431019,93,155212.38,38.54,30.16,37.75,152269.69,16.31,31.68,17.73
d071021-0min-0Pi-S7Y1-R1,0min,0min,B1.fcs,B1,Experiment,None,N/A,All Events,N/A,N/A,30000,38,789.474,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
d071021-0min-0Pi-S7Y1-R1,0min,0min,B1.fcs,B1,Experiment,None,,cell,FSC-H,SSC-H,27772,38,730.842,92.573,92.573,508405,137503,474887,124595,402461,123951,160976.49,54132.45,31.66,39.37,160208.27,41194.78,33.74,33.06
d071021-0min-0Pi-S7Y1-R1,0min,0min,B1.fcs,B1,Experiment,None,,CTA1-GFP,FSC-H,FSC-A,16010,38,421.316,53.367,99.794,466427,486800,445450,459756,402412,422843,121933.45,145368.96,26.14,29.86,120166.95,146870.80,26.98,31.95
d071021-0min-0Pi-S7Y1-R1,0min,0min,B1.fcs,B1,Experiment,None,,single cell,FSC-H,FSC-A,16043,38,422.184,53.477,53.477,467054,487664,445713,460048,402412,422843,122647.34,146484.47,26.26,30.04,120487.93,147407.50,27.03,32.04
d071021-0min-0Pi-S7Y1-R1,0min,0min,B1.fcs,B1,Experiment,None,,CTA1-GFP,BL1-H,,16010,38,421.316,53.367,53.367,7588,N/A,6700,N/A,6706,N/A,4040.91,N/A,53.25,N/A,3067.50,N/A,45.78,N/A
d071021-0min-0Pi-S7Y1-R1,0min,0min,B1.fcs,B1,Experiment,None,,single cell,FSC-H,FSC-W,16043,38,422.184,53.477,57.767,467054,86,445713,84,402412,86,122647.34,8.78,26.26,10.25,120487.93,8.90,27.03,10.59
d071021-0min-0Pi-S7Y1-R1,0min,0min,B1.fcs,B1,Experiment,None,,cell,FSC-H,FSC-W,27772,38,730.842,92.573,92.573,508405,103,474887,92,402461,92,160976.49,41.57,31.66,40.33,160208.27,16.31,33.74,17.73
d071021-0min-0Pi-S7Y1-R1,0min,0min,B2.fcs,B2,Experiment,None,N/A,All Events,N/A,N/A,30000,41,731.707,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
d071021-0min-0Pi-S7Y1-R1,0min,0min,B2.fcs,B2,Experiment,None,,cell,FSC-H,SSC-H,28179,41,687.293,93.930,93.930,495038,135384,460429,123325,408654,121799,155559.37,53159.74,31.42,39.27,149462.39,39382.30,32.46,31.93
d071021-0min-0Pi-S7Y1-R1,0min,0min,B2.fcs,B2,Experiment,None,,CTA1-GFP,FSC-H,FSC-A,16546,41,403.561,55.153,99.825,455513,475389,434101,446553,410604,375898,118054.27,141339.61,25.92,29.73,114003.78,137618.64,26.26,30.82
d071021-0min-0Pi-S7Y1-R1,0min,0min,B2.fcs,B2,Experiment,None,,single cell,FSC-H,FSC-A,16575,41,404.268,55.250,55.250,456076,476175,434435,446655,410604,375898,118737.58,142474.09,26.03,29.92,114354.42,137923.31,26.32,30.88
d071021-0min-0Pi-S7Y1-R1,0min,0min,B2.fcs,B2,Experiment,None,,CTA1-GFP,BL1-H,,16546,41,403.561,55.153,55.153,4423,N/A,3612,N/A,5229,N/A,2979.02,N/A,67.36,N/A,2098.62,N/A,58.11,N/A
d071021-0min-0Pi-S7Y1-R1,0min,0min,B2.fcs,B2,Experiment,None,,single cell,FSC-H,FSC-W,16575,41,404.268,55.250,58.820,456076,85,434435,84,410604,86,118737.58,8.60,26.03,10.08,114354.42,8.90,26.32,10.59
d071021-0min-0Pi-S7Y1-R1,0min,0min,B2.fcs,B2,Experiment,None,,cell,FSC-H,FSC-W,28179,41,687.293,93.930,93.930,495038,102,460429,91,408654,86,155559.37,39.49,31.42,38.86,149462.39,16.31,32.46,17.92
d071021-0min-0Pi-S7Y1-R1,0min,0min,B3.fcs,B3,Experiment,None,N/A,All Events,N/A,N/A,30000,48,625.000,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
d071021-0min-0Pi-S7Y1-R1,0min,0min,B3.fcs,B3,Experiment,None,,cell,FSC-H,SSC-H,27068,48,563.917,90.227,90.227,522034,139931,488991,127977,427131,125958,161856.80,53825.50,31.01,38.47,164117.15,41703.31,33.56,32.59
d071021-0min-0Pi-S7Y1-R1,0min,0min,B3.fcs,B3,Experiment,None,,CTA1-GFP,FSC-H,FSC-A,15915,48,331.563,53.050,99.893,472228,493341,453435,468202,427131,463781,120429.27,144673.74,25.50,29.33,118938.62,147051.68,26.23,31.41
d071021-0min-0Pi-S7Y1-R1,0min,0min,B3.fcs,B3,Experiment,None,,single cell,FSC-H,FSC-A,15932,48,331.917,53.107,53.107,472567,493798,453598,468351,427131,463781,120818.50,145271.89,25.57,29.42,119163.97,147245.16,26.27,31.44
d071021-0min-0Pi-S7Y1-R1,0min,0min,B3.fcs,B3,Experiment,None,,CTA1-GFP,BL1-H,,15915,48,331.563,53.050,53.050,7591,N/A,6658,N/A,6709,N/A,4068.87,N/A,53.60,N/A,3008.20,N/A,45.18,N/A
d071021-0min-0Pi-S7Y1-R1,0min,0min,B3.fcs,B3,Experiment,None,,single cell,FSC-H,FSC-W,15932,48,331.917,53.107,58.859,472567,86,453598,85,427131,87,120818.50,8.89,25.57,10.30,119163.97,8.90,26.27,10.47
