Plate,Experiment,Group,Filename,Sample,Workspace,Compensation Source,Plot Title,Gate,X Parameter,Y Parameter,Count,Volume,Concentration,%Total,%Gated,X Mean,Y Mean,X Median,Y Median,X Peak,Y Peak,X SD,Y SD,X %CV,Y %CV,X rSD,Y rSD,X %rCV,Y %rCV
d071721-120min-0Pi-SKY1-R3,120min,120min,A5.fcs,A5,Experiment,None,,CTA1-GFP,FSC-H,FSC-A,10707,39,274.538,35.690,99.646,535542,566506,531166,560220,470245,476440,124853.41,150573.46,23.31,26.58,145612.07,178401.25,27.41,31.84
d071721-120min-0Pi-SKY1-R3,120min,120min,A5.fcs,A5,Experiment,None,,single cell,FSC-H,FSC-A,10745,39,275.513,35.817,35.817,536436,567739,531874,561050,470245,476440,125560.45,151732.64,23.41,26.73,145917.49,179068.42,27.43,31.92
d071721-120min-0Pi-SKY1-R3,120min,120min,A5.fcs,A5,Experiment,None,,CTA1-GFP,BL1-H,,10707,39,274.538,35.690,35.690,97446,N/A,94246,N/A,102448,N/A,47434.77,N/A,48.68,N/A,40927.17,N/A,43.43,N/A
d071721-120min-0Pi-SKY1-R3,120min,120min,A5.fcs,A5,Experiment,None,,single cell,FSC-H,FSC-W,10745,39,275.513,35.817,44.765,536436,91,531874,90,470245,87,125560.45,9.09,23.41,10.02,145917.49,10.38,27.43,11.53
d071721-120min-0Pi-SKY1-R3,120min,120min,A5.fcs,A5,Experiment,None,,cell,FSC-H,FSC-W,24003,39,615.462,80.010,80.010,607895,115,620414,105,699301,87,157291.17,42.75,25.87,37.07,182041.04,25.20,29.34,24.00
d071721-120min-0Pi-SKY1-R3,120min,120min,A6.fcs,A6,Experiment,None,N/A,All Events,N/A,N/A,30000,83,361.446,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
d071721-120min-0Pi-SKY1-R3,120min,120min,A6.fcs,A6,Experiment,None,,cell,FSC-H,SSC-H,28093,83,338.470,93.643,93.643,545670,138996,522792,130805,500863,111631,155306.50,49717.84,28.46,35.77,159238.65,43453.52,30.46,33.22
d071721-120min-0Pi-SKY1-R3,120min,120min,A6.fcs,A6,Experiment,None,,CTA1-GFP,FSC-H,FSC-A,16560,83,199.518,55.200,99.970,496732,512081,488616,497400,500783,466046,114269.75,132525.24,23.00,25.88,116657.64,135574.87,23.88,27.26
d071721-120min-0Pi-SKY1-R3,120min,120min,A6.fcs,A6,Experiment,None,,single cell,FSC-H,FSC-A,16565,83,199.578,55.217,55.217,496830,512213,488635,497438,500783,466046,114392.44,132723.10,23.02,25.91,116696.93,135591.18,23.88,27.26
d071721-120min-0Pi-SKY1-R3,120min,120min,A6.fcs,A6,Experiment,None,,CTA1-GFP,BL1-H,,16560,83,199.518,55.200,55.200,4916,N/A,4282,N/A,5500,N/A,3122.66,N/A,63.51,N/A,2349.18,N/A,54.87,N/A
