Replicate,Plate,Group,Sample,Count,median,peak,sd,cv,rCV,genotype,treat,HB_strain
Rep2-0Pi-H2O2,d020824-240min-RS1-R2,240min,E10,3229,1306,1012,826.77,58.22,54.26,RS1_210,0Pi,yH903
Rep2-0Pi-H2O2,d020824-240min-RS1-R2,240min,E11,3431,10435,12353,5414.16,47.38,41.26,RS1_24,2mMH2O2,yH895
Rep2-0Pi-H2O2,d020824-240min-RS1-R2,240min,E12,3264,2035,1293,1302.76,56.75,53.38,RS1_210,2mMH2O2,yH903
Rep2-0Pi-H2O2,d020824-240min-RS1-R2,240min,F9,2891,8769,10581,4618.25,50.97,49.34,RS1_26,0Pi,yH896
Rep2-0Pi-H2O2,d020824-240min-RS1-R2,240min,F10,2958,1270,152,939.56,67.65,65.61,RS1_210,0Pi,yH904
Rep2-0Pi-H2O2,d020824-240min-RS1-R2,240min,F11,3292,9541,10769,4799.35,47.28,42.32,RS1_26,2mMH2O2,yH896
Rep2-0Pi-H2O2,d020824-240min-RS1-R2,240min,F12,3378,1778,1343,1190.19,58.62,53.37,RS1_210,2mMH2O2,yH904
Rep2-0Pi-H2O2,d020824-240min-RS1-R2,240min,G9,3153,8469,10207,4437.35,51.51,52.1,RS1_26,0Pi,yH897
Rep2-0Pi-H2O2,d020824-240min-RS1-R2,240min,G11,3165,8237,8998,5026.86,59.09,50,RS1_26,2mMH2O2,yH897
Rep2-0Pi-H2O2,d020824-240min-RS1-R2,240min,H9,2760,7967,10176,5292.79,65.26,68.77,RS1_26,0Pi,yH898
Rep2-0Pi-H2O2,d020824-240min-RS1-R2,240min,H11,3029,7863,8249,4668.26,56.2,47.38,RS1_26,2mMH2O2,yH898
Rep3-0Pi-Ctrl,d021024-240min-RS1-R3,240min,A9,3196,14997,17141,6844.07,44.45,44.01,wt,0Pi,yH298
Rep3-0Pi-Ctrl,d021024-240min-RS1-R3,240min,A10,2806,2753,2702,1640.89,55.04,54.15,RS1_28,0Pi,yH899
Rep3-0Pi-Ctrl,d021024-240min-RS1-R3,240min,A11,3764,4696,5226,3296.64,60.66,52.96,wt,Ctrl,yH298
Rep3-0Pi-Ctrl,d021024-240min-RS1-R3,240min,A12,3900,1619,1235,958.3,52.99,47.57,RS1_28,Ctrl,yH899
Rep3-0Pi-Ctrl,d021024-240min-RS1-R3,240min,B9,3154,14559,16454,6806.9,45.32,43.68,wt,0Pi,yH299
Rep3-0Pi-Ctrl,d021024-240min-RS1-R3,240min,B10,2843,2975,3754,1855.44,57.06,54.87,RS1_28,0Pi,yH900
Rep3-0Pi-Ctrl,d021024-240min-RS1-R3,240min,B11,3916,5080,6417,3179.39,55.76,49.34,wt,Ctrl,yH299
Rep3-0Pi-Ctrl,d021024-240min-RS1-R3,240min,B12,3792,1661,1647,1150.49,60.22,49.99,RS1_28,Ctrl,yH900
Rep3-0Pi-Ctrl,d021024-240min-RS1-R3,240min,C9,2980,6407,8103,3436.88,50.89,48.84,RS1_24,0Pi,yH893
Rep3-0Pi-Ctrl,d021024-240min-RS1-R3,240min,C10,3071,2653,2116,1605.59,55.01,53.2,RS1_28,0Pi,yH901
Rep3-0Pi-Ctrl,d021024-240min-RS1-R3,240min,C11,3686,2378,3146,1666.81,60.4,49.85,RS1_24,Ctrl,yH893
Rep3-0Pi-Ctrl,d021024-240min-RS1-R3,240min,C12,3645,1651,1256,1024.01,54.99,49.84,RS1_28,Ctrl,yH901
Rep3-0Pi-Ctrl,d021024-240min-RS1-R3,240min,D9,3023,5351,6413,3077,53.9,54.36,RS1_24,0Pi,yH894
Rep3-0Pi-Ctrl,d021024-240min-RS1-R3,240min,D10,3468,1161,1036,784.49,60.12,51.72,RS1_210,0Pi,yH902
Rep3-0Pi-Ctrl,d021024-240min-RS1-R3,240min,D11,4330,1732,1537,1342.73,66.11,51.1,RS1_24,Ctrl,yH894
Rep3-0Pi-Ctrl,d021024-240min-RS1-R3,240min,D12,3902,915,758,506.44,50.35,48.15,RS1_210,Ctrl,yH902
Rep3-0Pi-Ctrl,d021024-240min-RS1-R3,240min,E9,2954,5853,8817,3134.34,50.63,51.59,RS1_24,0Pi,yH895
Rep3-0Pi-Ctrl,d021024-240min-RS1-R3,240min,E10,2894,1204,1012,844.75,62.79,50.8,RS1_210,0Pi,yH903
Rep3-0Pi-Ctrl,d021024-240min-RS1-R3,240min,E11,4062,2245,2760,1541.24,60.08,51.91,RS1_24,Ctrl,yH895
Rep3-0Pi-Ctrl,d021024-240min-RS1-R3,240min,E12,3786,934,804,517.57,50.6,46.67,RS1_210,Ctrl,yH903
Rep3-0Pi-Ctrl,d021024-240min-RS1-R3,240min,F9,2758,7335,8258,4106.67,52.69,52.19,RS1_26,0Pi,yH896
Rep3-0Pi-Ctrl,d021024-240min-RS1-R3,240min,F10,2673,1289,1199,819.85,58.56,52.22,RS1_210,0Pi,yH904
Rep3-0Pi-Ctrl,d021024-240min-RS1-R3,240min,F11,3721,1392,931,1159.57,69.55,56.24,RS1_26,Ctrl,yH896
Rep3-0Pi-Ctrl,d021024-240min-RS1-R3,240min,F12,3931,967,713,537.71,50.8,47.53,RS1_210,Ctrl,yH904
Rep3-0Pi-Ctrl,d021024-240min-RS1-R3,240min,G9,3006,7142,9657,3606.53,48.45,49.01,RS1_26,0Pi,yH897
Rep3-0Pi-Ctrl,d021024-240min-RS1-R3,240min,G11,3897,1508,1305,1081.05,62.43,52.3,RS1_26,Ctrl,yH897
Rep3-0Pi-Ctrl,d021024-240min-RS1-R3,240min,H9,3411,7071,8396,3808.66,50.7,51.87,RS1_26,0Pi,yH898
Rep3-0Pi-Ctrl,d021024-240min-RS1-R3,240min,H11,3733,1618,1070,1228.28,64.71,53.51,RS1_26,Ctrl,yH898
Rep4-H2O2-Ctrl,d021224-240min-RS1-R4,240min,A9,2904,25114,26227,14060.83,54.06,45.87,wt,2mMH2O2,yH298
Rep4-H2O2-Ctrl,d021224-240min-RS1-R4,240min,A10,3348,3824,4623,2532.79,58.85,53.22,RS1_28,2mMH2O2,yH899
Rep4-H2O2-Ctrl,d021224-240min-RS1-R4,240min,A11,3656,5466,5970,3379.34,55.32,49.56,wt,Ctrl,yH298
Rep4-H2O2-Ctrl,d021224-240min-RS1-R4,240min,A12,3753,1673,1377,1052.3,55.91,47.41,RS1_28,Ctrl,yH899
Rep4-H2O2-Ctrl,d021224-240min-RS1-R4,240min,B9,3131,19912,19541,10613.17,48.98,42.63,wt,2mMH2O2,yH299
Rep4-H2O2-Ctrl,d021224-240min-RS1-R4,240min,B10,3253,3876,4688,2434.37,56.13,49.5,RS1_28,2mMH2O2,yH900
Rep4-H2O2-Ctrl,d021224-240min-RS1-R4,240min,B11,3680,5418,5973,3181.69,52.8,48.12,wt,Ctrl,yH299
Rep4-H2O2-Ctrl,d021224-240min-RS1-R4,240min,B12,3703,1633,1295,1030.93,55.93,47.85,RS1_28,Ctrl,yH900
Rep4-H2O2-Ctrl,d021224-240min-RS1-R4,240min,C9,3099,11414,11634,5384.05,44.19,40.46,RS1_24,2mMH2O2,yH893
Rep4-H2O2-Ctrl,d021224-240min-RS1-R4,240min,C10,3315,4183,5421,2471.91,53.07,47,RS1_28,2mMH2O2,yH901
Rep4-H2O2-Ctrl,d021224-240min-RS1-R4,240min,C11,3867,2176,1686,1438.33,57.81,51.71,RS1_24,Ctrl,yH893
Rep4-H2O2-Ctrl,d021224-240min-RS1-R4,240min,C12,3941,1598,1059,944.88,53.08,47.78,RS1_28,Ctrl,yH901
Rep4-H2O2-Ctrl,d021224-240min-RS1-R4,240min,D9,3310,11241,11872,5320.22,43.85,40.31,RS1_24,2mMH2O2,yH894
Rep4-H2O2-Ctrl,d021224-240min-RS1-R4,240min,D10,2754,1326,977,1109.23,70.1,55.37,RS1_210,2mMH2O2,yH902
Rep4-H2O2-Ctrl,d021224-240min-RS1-R4,240min,D11,3748,2324,2979,1569.6,58.8,50.84,RS1_24,Ctrl,yH894
Rep4-H2O2-Ctrl,d021224-240min-RS1-R4,240min,D12,3558,932,781,525.88,50.74,48.62,RS1_210,Ctrl,yH902
Rep4-H2O2-Ctrl,d021224-240min-RS1-R4,240min,E9,3245,10990,11861,5685.06,48.8,41.81,RS1_24,2mMH2O2,yH895
Rep4-H2O2-Ctrl,d021224-240min-RS1-R4,240min,E10,3189,1611,1726,1164.84,65.95,63.13,RS1_210,2mMH2O2,yH903
Rep4-H2O2-Ctrl,d021224-240min-RS1-R4,240min,E11,3851,2149,1535,1448.81,59.58,52.09,RS1_24,Ctrl,yH895
Rep4-H2O2-Ctrl,d021224-240min-RS1-R4,240min,E12,4008,890,678,502.77,51.13,46.64,RS1_210,Ctrl,yH903
Rep4-H2O2-Ctrl,d021224-240min-RS1-R4,240min,F9,3168,9207,11412,4860.89,48.52,43.14,RS1_26,2mMH2O2,yH896
Rep4-H2O2-Ctrl,d021224-240min-RS1-R4,240min,F10,2978,1912,1198,1355.7,60.81,54.64,RS1_210,2mMH2O2,yH904
Rep4-H2O2-Ctrl,d021224-240min-RS1-R4,240min,F11,3871,1494,1499,1132.64,64.28,52.99,RS1_26,Ctrl,yH896
Rep4-H2O2-Ctrl,d021224-240min-RS1-R4,240min,F12,3614,938,954,524.91,50.83,46.94,RS1_210,Ctrl,yH904
Rep4-H2O2-Ctrl,d021224-240min-RS1-R4,240min,G9,3422,8629,8991,4580.16,50.04,43.94,RS1_26,2mMH2O2,yH897
Rep4-H2O2-Ctrl,d021224-240min-RS1-R4,240min,G11,3924,1480,1295,1225.22,68.97,55.8,RS1_26,Ctrl,yH897
Rep4-H2O2-Ctrl,d021224-240min-RS1-R4,240min,H9,3617,8343,9128,4485.5,49.94,44.57,RS1_26,2mMH2O2,yH898
Rep4-H2O2-Ctrl,d021224-240min-RS1-R4,240min,H11,3808,1476,991,1089.08,63.63,53.81,RS1_26,Ctrl,yH898
