Plate,Experiment,Group,Filename,Sample,Workspace,Compensation Source,Plot Title,Gate,X Parameter,Y Parameter,Count,Volume,Concentration,%Total,%Gated,X Mean,Y Mean,X Median,Y Median,X Peak,Y Peak,X SD,Y SD,X %CV,Y %CV,X rSD,Y rSD,X %rCV,Y %rCV
d022224-0min-RS2-R4,0min,0min,A1.fcs,A1,Experiment,None,N/A,All Events,N/A,N/A,10000,10,1000.000,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
d022224-0min-RS2-R4,0min,0min,A1.fcs,A1,Experiment,None,,cell,FSC-H,SSC-H,9568,10,956.800,95.680,95.680,532540,110809,514467,104982,459669,113641,151258.55,41345.58,28.40,37.31,150078.41,31560.11,29.17,30.06
d022224-0min-RS2-R4,0min,0min,A1.fcs,A1,Experiment,None,,CTA1-GFP,FSC-H,FSC-A,4855,10,485.500,48.550,99.918,484780,499008,477673,486451,459669,502650,112732.51,130767.42,23.25,26.21,117456.02,138900.34,24.59,28.55
d022224-0min-RS2-R4,0min,0min,A1.fcs,A1,Experiment,None,,single cell,FSC-H,FSC-A,4859,10,485.900,48.590,48.590,484942,499274,477791,486662,459669,502650,112878.22,131054.99,23.28,26.25,117630.96,139075.29,24.62,28.58
d022224-0min-RS2-R4,0min,0min,A1.fcs,A1,Experiment,None,,CTA1-GFP,BL1-H,,4855,10,485.500,48.550,48.550,2911,N/A,2669,N/A,2891,N/A,1379.50,N/A,47.39,N/A,1116.40,N/A,41.83,N/A
d022224-0min-RS2-R4,0min,0min,A1.fcs,A1,Experiment,None,,single cell,FSC-H,FSC-W,4859,10,485.900,48.590,50.784,484942,88,477791,87,459669,86,112878.22,7.90,23.28,8.94,117630.96,7.41,24.62,8.52
d022224-0min-RS2-R4,0min,0min,A1.fcs,A1,Experiment,None,,cell,FSC-H,FSC-W,9568,10,956.800,95.680,95.680,532540,108,514467,99,459669,86,151258.55,33.00,28.40,30.55,150078.41,19.27,29.17,19.47
d022224-0min-RS2-R4,0min,0min,A1.fcs,A1,Experiment,None,,Voltage,BL1-H,,3990,10,399.000,39.900,39.900,4587,N/A,4294,N/A,3305,N/A,1100.54,N/A,23.99,N/A,1042.27,N/A,24.28,N/A
d022224-0min-RS2-R4,0min,0min,A2.fcs,A2,Experiment,None,N/A,All Events,N/A,N/A,30000,32,937.500,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
d022224-0min-RS2-R4,0min,0min,A2.fcs,A2,Experiment,None,,cell,FSC-H,SSC-H,27990,32,874.688,93.300,93.300,536886,116892,518649,111981,437202,117767,161348.22,43256.61,30.05,37.01,158946.58,33942.64,30.65,30.31
d022224-0min-RS2-R4,0min,0min,A2.fcs,A2,Experiment,None,,CTA1-GFP,FSC-H,FSC-A,13398,32,418.688,44.660,99.933,479736,494836,472163,480046,437207,410608,110158.01,131228.48,22.96,26.52,111631.62,136589.71,23.64,28.45
d022224-0min-RS2-R4,0min,0min,A2.fcs,A2,Experiment,None,,single cell,FSC-H,FSC-A,13407,32,418.969,44.690,44.690,479968,495107,472187,480145,437207,410608,110493.77,131604.39,23.02,26.58,111733.18,136744.64,23.66,28.48
d022224-0min-RS2-R4,0min,0min,A2.fcs,A2,Experiment,None,,CTA1-GFP,BL1-H,,13398,32,418.688,44.660,44.660,2307,N/A,2267,N/A,2236,N/A,848.14,N/A,36.76,N/A,721.28,N/A,31.82,N/A
d022224-0min-RS2-R4,0min,0min,A2.fcs,A2,Experiment,None,,single cell,FSC-H,FSC-W,13407,32,418.969,44.690,47.899,479968,88,472187,87,437207,86,110493.77,8.01,23.02,9.10,111733.18,8.90,23.66,10.22
d022224-0min-RS2-R4,0min,0min,A2.fcs,A2,Experiment,None,,cell,FSC-H,FSC-W,27990,32,874.688,93.300,93.300,536886,110,518649,99,437202,87,161348.22,36.17,30.05,32.91,158946.58,22.24,30.65,22.46
