Plate,Experiment,Group,Filename,Sample,Workspace,Compensation Source,Plot Title,Gate,X Parameter,Y Parameter,Count,Volume,Concentration,%Total,%Gated,X Mean,Y Mean,X Median,Y Median,X Peak,Y Peak,X SD,Y SD,X %CV,Y %CV,X rSD,Y rSD,X %rCV,Y %rCV
d060521-0min-0Pi-M24KO,0min,0min,A1.fcs,A1,Experiment,None,N/A,All Events,N/A,N/A,30000,26,1153.846,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
d060521-0min-0Pi-M24KO,0min,0min,A1.fcs,A1,Experiment,None,,cell,FSC-H,SSC-H,26311,26,1011.962,87.703,87.703,481891,130130,456717,120126,394172,125973,157205.36,51215.84,32.62,39.36,150371.22,38686.96,32.92,32.21
d060521-0min-0Pi-M24KO,0min,0min,A1.fcs,A1,Experiment,None,,CTA1-GFP,FSC-H,FSC-A,14062,26,540.846,46.873,99.844,449074,467024,432235,444085,394070,414833,117654.71,139369.74,26.20,29.84,115621.30,139935.20,26.75,31.51
d060521-0min-0Pi-M24KO,0min,0min,A1.fcs,A1,Experiment,None,,single cell,FSC-H,FSC-A,14084,26,541.692,46.947,46.947,449514,467655,432376,444350,394070,414833,118192.50,140229.82,26.29,29.99,115869.64,140229.49,26.80,31.56
d060521-0min-0Pi-M24KO,0min,0min,A1.fcs,A1,Experiment,None,,CTA1-GFP,BL1-H,,14062,26,540.846,46.873,46.873,8824,N/A,7816,N/A,8996,N/A,4902.15,N/A,55.55,N/A,4140.90,N/A,52.98,N/A
d060521-0min-0Pi-M24KO,0min,0min,A1.fcs,A1,Experiment,None,,single cell,FSC-H,FSC-W,14084,26,541.692,46.947,53.529,449514,86,432376,84,394070,86,118192.50,8.04,26.29,9.39,115869.64,7.41,26.80,8.82
d060521-0min-0Pi-M24KO,0min,0min,A1.fcs,A1,Experiment,None,,cell,FSC-H,FSC-W,26311,26,1011.962,87.703,87.703,481891,108,456717,93,394172,86,157205.36,50.24,32.62,46.69,150371.22,17.79,32.92,19.13
d060521-0min-0Pi-M24KO,0min,0min,A2.fcs,A2,Experiment,None,N/A,All Events,N/A,N/A,30000,31,967.742,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
d060521-0min-0Pi-M24KO,0min,0min,A2.fcs,A2,Experiment,None,,cell,FSC-H,SSC-H,29119,31,939.323,97.063,97.063,482923,129682,456632,121618,404447,119866,143748.86,46753.71,29.77,36.05,137591.21,35669.87,30.13,29.33
d060521-0min-0Pi-M24KO,0min,0min,A2.fcs,A2,Experiment,None,,CTA1-GFP,FSC-H,FSC-A,16406,31,529.226,54.687,99.890,452091,471470,435626,449014,435225,412709,114026.98,136569.61,25.22,28.97,111283.21,135468.87,25.55,30.17
d060521-0min-0Pi-M24KO,0min,0min,A2.fcs,A2,Experiment,None,,single cell,FSC-H,FSC-A,16424,31,529.806,54.747,54.747,452366,471923,435727,449172,435225,412709,114304.22,137194.04,25.27,29.07,111432.21,135763.16,25.57,30.23
d060521-0min-0Pi-M24KO,0min,0min,A2.fcs,A2,Experiment,None,,CTA1-GFP,BL1-H,,16406,31,529.226,54.687,54.687,6162,N/A,5556,N/A,5810,N/A,2998.36,N/A,48.66,N/A,2451.48,N/A,44.13,N/A
d060521-0min-0Pi-M24KO,0min,0min,A2.fcs,A2,Experiment,None,,single cell,FSC-H,FSC-W,16424,31,529.806,54.747,56.403,452366,86,435727,85,435225,86,114304.22,7.94,25.27,9.24,111432.21,7.41,25.57,8.72
d060521-0min-0Pi-M24KO,0min,0min,A2.fcs,A2,Experiment,None,,cell,FSC-H,FSC-W,29119,31,939.323,97.063,97.063,482923,106,456632,93,404447,86,143748.86,46.49,29.77,44.05,137591.21,16.31,30.13,17.54
d060521-0min-0Pi-M24KO,0min,0min,A3.fcs,A3,Experiment,None,N/A,All Events,N/A,N/A,30000,26,1153.846,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
d060521-0min-0Pi-M24KO,0min,0min,A3.fcs,A3,Experiment,None,,cell,FSC-H,SSC-H,24749,26,951.885,82.497,82.497,497442,131058,475284,121685,408619,125948,164422.48,49864.02,33.05,38.05,153517.30,37524.61,32.30,30.84
d060521-0min-0Pi-M24KO,0min,0min,A3.fcs,A3,Experiment,None,,CTA1-GFP,FSC-H,FSC-A,12545,26,482.500,41.817,99.833,465618,484429,450696,463021,408682,398476,117963.77,140792.09,25.33,29.06,116640.59,142506.03,25.88,30.78
d060521-0min-0Pi-M24KO,0min,0min,A3.fcs,A3,Experiment,None,,single cell,FSC-H,FSC-A,12566,26,483.308,41.887,41.887,466066,485080,450839,463238,408682,398476,118498.10,141641.34,25.43,29.20,116896.34,142841.09,25.93,30.84
d060521-0min-0Pi-M24KO,0min,0min,A3.fcs,A3,Experiment,None,,CTA1-GFP,BL1-H,,12545,26,482.500,41.817,41.817,8693,N/A,7760,N/A,8384,N/A,4631.75,N/A,53.28,N/A,4020.81,N/A,51.81,N/A
d060521-0min-0Pi-M24KO,0min,0min,A3.fcs,A3,Experiment,None,,single cell,FSC-H,FSC-W,12566,26,483.308,41.887,50.774,466066,86,450839,85,408682,86,118498.10,8.23,25.43,9.54,116896.34,7.41,25.93,8.72
d060521-0min-0Pi-M24KO,0min,0min,A3.fcs,A3,Experiment,None,,cell,FSC-H,FSC-W,24749,26,951.885,82.497,82.497,497442,110,475284,95,408619,86,164422.48,52.17,33.05,47.59,153517.30,19.27,32.30,20.29
d060521-0min-0Pi-M24KO,0min,0min,A4.fcs,A4,Experiment,None,N/A,All Events,N/A,N/A,30000,32,937.500,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
d060521-0min-0Pi-M24KO,0min,0min,A4.fcs,A4,Experiment,None,,cell,FSC-H,SSC-H,28080,32,877.500,93.600,93.600,501563,133834,475374,125662,416841,121886,149048.11,47378.67,29.72,35.40,143663.94,36364.47,30.22,28.94
d060521-0min-0Pi-M24KO,0min,0min,A4.fcs,A4,Experiment,None,,CTA1-GFP,FSC-H,FSC-A,15663,32,489.469,52.210,99.923,464224,484378,448652,463163,424740,435323,113656.10,136245.90,24.48,28.13,112859.96,138114.57,25.16,29.82
d060521-0min-0Pi-M24KO,0min,0min,A4.fcs,A4,Experiment,None,,single cell,FSC-H,FSC-A,15675,32,489.844,52.250,52.250,464395,484669,448730,463223,424740,435323,113833.17,136624.02,24.51,28.19,112856.99,138264.31,25.15,29.85
d060521-0min-0Pi-M24KO,0min,0min,A4.fcs,A4,Experiment,None,,CTA1-GFP,BL1-H,,15663,32,489.469,52.210,52.210,6151,N/A,5598,N/A,6709,N/A,2900.49,N/A,47.16,N/A,2458.15,N/A,43.91,N/A
d060521-0min-0Pi-M24KO,0min,0min,A4.fcs,A4,Experiment,None,,single cell,FSC-H,FSC-W,15675,32,489.844,52.250,55.823,464395,87,448730,85,424740,86,113833.17,7.98,24.51,9.22,112856.99,7.41,25.15,8.72
d060521-0min-0Pi-M24KO,0min,0min,A4.fcs,A4,Experiment,None,,cell,FSC-H,FSC-W,28080,32,877.500,93.600,93.600,501563,107,475374,94,416841,86,149048.11,47.76,29.72,44.56,143663.94,16.31,30.22,17.35
d060521-0min-0Pi-M24KO,0min,0min,B1.fcs,B1,Experiment,None,N/A,All Events,N/A,N/A,30000,30,1000.000,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
d060521-0min-0Pi-M24KO,0min,0min,B1.fcs,B1,Experiment,None,,cell,FSC-H,SSC-H,26515,30,883.833,88.383,88.383,489049,129511,463187,120231,424990,113609,154099.19,49888.41,31.51,38.52,147050.20,37889.32,31.75,31.51
d060521-0min-0Pi-M24KO,0min,0min,B1.fcs,B1,Experiment,None,,CTA1-GFP,FSC-H,FSC-A,14570,30,485.667,48.567,99.870,454200,473103,438509,450998,375814,375983,115178.06,136727.35,25.36,28.90,113546.40,136492.60,25.89,30.26
d060521-0min-0Pi-M24KO,0min,0min,B1.fcs,B1,Experiment,None,,single cell,FSC-H,FSC-A,14589,30,486.300,48.630,48.630,454538,473611,438810,451149,375814,375983,115586.67,137405.01,25.43,29.01,113589.40,136800.98,25.89,30.32
d060521-0min-0Pi-M24KO,0min,0min,B1.fcs,B1,Experiment,None,,CTA1-GFP,BL1-H,,14570,30,485.667,48.567,48.567,9523,N/A,8596,N/A,9304,N/A,4821.58,N/A,50.63,N/A,3692.42,N/A,42.96,N/A
d060521-0min-0Pi-M24KO,0min,0min,B1.fcs,B1,Experiment,None,,single cell,FSC-H,FSC-W,14589,30,486.300,48.630,55.022,454538,86,438810,85,375814,87,115586.67,7.96,25.43,9.25,113589.40,7.41,25.89,8.72
d060521-0min-0Pi-M24KO,0min,0min,B1.fcs,B1,Experiment,None,,cell,FSC-H,FSC-W,26515,30,883.833,88.383,88.383,489049,107,463187,93,424990,87,154099.19,49.56,31.51,46.10,147050.20,16.31,31.75,17.54
d060521-0min-0Pi-M24KO,0min,0min,B2.fcs,B2,Experiment,None,N/A,All Events,N/A,N/A,30000,34,882.353,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
d060521-0min-0Pi-M24KO,0min,0min,B2.fcs,B2,Experiment,None,,cell,FSC-H,SSC-H,28910,34,850.294,96.367,96.367,496757,132986,469285,124643,437310,127987,146316.94,47881.65,29.45,36.01,141773.62,36835.94,30.21,29.55
d060521-0min-0Pi-M24KO,0min,0min,B2.fcs,B2,Experiment,None,,CTA1-GFP,FSC-H,FSC-A,16237,34,477.559,54.123,99.932,461577,482731,445992,461250,402461,433121,114992.99,138102.92,24.91,28.61,114561.98,139643.13,25.69,30.27
d060521-0min-0Pi-M24KO,0min,0min,B2.fcs,B2,Experiment,None,,single cell,FSC-H,FSC-A,16248,34,477.882,54.160,54.160,461781,483010,446044,461412,402461,433121,115257.73,138481.57,24.96,28.67,114680.59,139743.94,25.71,30.29
d060521-0min-0Pi-M24KO,0min,0min,B2.fcs,B2,Experiment,None,,CTA1-GFP,BL1-H,,16237,34,477.559,54.123,54.123,6059,N/A,5480,N/A,7016,N/A,2908.76,N/A,48.01,N/A,2406.26,N/A,43.91,N/A
d060521-0min-0Pi-M24KO,0min,0min,B2.fcs,B2,Experiment,None,,single cell,FSC-H,FSC-W,16248,34,477.882,54.160,56.202,461781,87,446044,85,402461,87,115257.73,8.04,24.96,9.29,114680.59,7.41,25.71,8.72
d060521-0min-0Pi-M24KO,0min,0min,B2.fcs,B2,Experiment,None,,cell,FSC-H,FSC-W,28910,34,850.294,96.367,96.367,496757,106,469285,94,437310,87,146316.94,44.54,29.45,42.13,141773.62,16.31,30.21,17.35
d060521-0min-0Pi-M24KO,0min,0min,B3.fcs,B3,Experiment,None,N/A,All Events,N/A,N/A,30000,29,1034.483,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
d060521-0min-0Pi-M24KO,0min,0min,B3.fcs,B3,Experiment,None,,cell,FSC-H,SSC-H,25636,29,884.000,85.453,85.453,505741,130301,482024,122103,455739,115729,156306.93,47668.08,30.91,36.58,148985.73,36365.95,30.91,29.78
d060521-0min-0Pi-M24KO,0min,0min,B3.fcs,B3,Experiment,None,,CTA1-GFP,FSC-H,FSC-A,14062,29,484.897,46.873,99.908,470723,489393,457759,469693,455728,418655,116118.34,139094.39,24.67,28.42,117150.60,141296.23,25.59,30.08
d060521-0min-0Pi-M24KO,0min,0min,B3.fcs,B3,Experiment,None,,single cell,FSC-H,FSC-A,14075,29,485.345,46.917,46.917,470965,489746,458039,469947,455728,418655,116408.73,139542.59,24.72,28.49,117190.63,141438.55,25.59,30.10
d060521-0min-0Pi-M24KO,0min,0min,B3.fcs,B3,Experiment,None,,CTA1-GFP,BL1-H,,14062,29,484.897,46.873,46.873,9523,N/A,8729,N/A,9151,N/A,4644.89,N/A,48.77,N/A,3672.40,N/A,42.07,N/A
d060521-0min-0Pi-M24KO,0min,0min,B3.fcs,B3,Experiment,None,,single cell,FSC-H,FSC-W,14075,29,485.345,46.917,54.903,470965,86,458039,85,455728,86,116408.73,8.22,24.72,9.51,117190.63,7.41,25.59,8.72
d060521-0min-0Pi-M24KO,0min,0min,B3.fcs,B3,Experiment,None,,cell,FSC-H,FSC-W,25636,29,884.000,85.453,85.453,505741,107,482024,94,455739,86,156306.93,46.96,30.91,43.86,148985.73,17.79,30.91,18.93
d060521-0min-0Pi-M24KO,0min,0min,B4.fcs,B4,Experiment,None,N/A,All Events,N/A,N/A,30000,61,491.803,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
d060521-0min-0Pi-M24KO,0min,0min,B4.fcs,B4,Experiment,None,,cell,FSC-H,SSC-H,28411,61,465.754,94.703,94.703,520932,129417,494626,122447,443427,123906,144488.94,43294.26,27.74,33.45,140411.11,34519.38,28.39,28.19
d060521-0min-0Pi-M24KO,0min,0min,B4.fcs,B4,Experiment,None,,CTA1-GFP,FSC-H,FSC-A,17159,61,281.295,57.197,99.913,485186,506406,469934,484816,443410,463979,110995.46,132743.60,22.88,26.21,111046.74,135345.07,23.63,27.92
d060521-0min-0Pi-M24KO,0min,0min,B4.fcs,B4,Experiment,None,,single cell,FSC-H,FSC-A,17174,61,281.541,57.247,57.247,485446,506750,470060,484925,443410,463979,111324.39,133205.83,22.93,26.29,111157.93,135572.65,23.65,27.96
d060521-0min-0Pi-M24KO,0min,0min,B4.fcs,B4,Experiment,None,,CTA1-GFP,BL1-H,,17159,61,281.295,57.197,57.197,6163,N/A,5660,N/A,7242,N/A,2802.15,N/A,45.47,N/A,2382.54,N/A,42.09,N/A
d060521-0min-0Pi-M24KO,0min,0min,B4.fcs,B4,Experiment,None,,single cell,FSC-H,FSC-W,17174,61,281.541,57.247,60.448,485446,88,470060,87,443410,86,111324.39,7.93,22.93,8.97,111157.93,7.41,23.65,8.52
d060521-0min-0Pi-M24KO,0min,0min,B4.fcs,B4,Experiment,None,,cell,FSC-H,FSC-W,28411,61,465.754,94.703,94.703,520932,101,494626,94,443427,86,144488.94,31.97,27.74,31.50,140411.11,14.83,28.39,15.77
d060521-0min-0Pi-M24KO,0min,0min,C1.fcs,C1,Experiment,None,N/A,All Events,N/A,N/A,30000,34,882.353,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
d060521-0min-0Pi-M24KO,0min,0min,C1.fcs,C1,Experiment,None,,cell,FSC-H,SSC-H,27473,34,808.029,91.577,91.577,493392,132557,465586,123220,398352,121804,153936.02,50322.78,31.20,37.96,150236.30,38433.44,32.27,31.19
d060521-0min-0Pi-M24KO,0min,0min,C1.fcs,C1,Experiment,None,,CTA1-GFP,FSC-H,FSC-A,15418,34,453.471,51.393,99.909,455409,476911,440043,456386,398335,396404,114909.28,137686.69,25.23,28.87,114049.74,139709.10,25.92,30.61
d060521-0min-0Pi-M24KO,0min,0min,C1.fcs,C1,Experiment,None,,single cell,FSC-H,FSC-A,15432,34,453.882,51.440,51.440,455640,477273,440141,456502,398335,396404,115161.86,138176.30,25.27,28.95,114138.70,139858.84,25.93,30.64
d060521-0min-0Pi-M24KO,0min,0min,C1.fcs,C1,Experiment,None,,CTA1-GFP,BL1-H,,15418,34,453.471,51.393,51.393,8637,N/A,7511,N/A,8110,N/A,4826.28,N/A,55.88,N/A,3787.30,N/A,50.43,N/A
d060521-0min-0Pi-M24KO,0min,0min,C1.fcs,C1,Experiment,None,,single cell,FSC-H,FSC-W,15432,34,453.882,51.440,56.172,455640,87,440141,85,398335,86,115161.86,8.05,25.27,9.31,114138.70,7.41,25.93,8.72
d060521-0min-0Pi-M24KO,0min,0min,C1.fcs,C1,Experiment,None,,cell,FSC-H,FSC-W,27473,34,808.029,91.577,91.577,493392,106,465586,93,398352,86,153936.02,45.29,31.20,42.79,150236.30,16.31,32.27,17.54
d060521-0min-0Pi-M24KO,0min,0min,C2.fcs,C2,Experiment,None,N/A,All Events,N/A,N/A,30000,39,769.231,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
d060521-0min-0Pi-M24KO,0min,0min,C2.fcs,C2,Experiment,None,,cell,FSC-H,SSC-H,28831,39,739.256,96.103,96.103,519235,138699,492328,131508,461715,132157,144710.41,47073.81,27.87,33.94,141512.68,38111.71,28.74,28.98
d060521-0min-0Pi-M24KO,0min,0min,C2.fcs,C2,Experiment,None,,CTA1-GFP,FSC-H,FSC-A,16064,39,411.897,53.547,99.925,476751,499059,461687,477464,429112,420819,112098.49,136031.60,23.51,27.26,110133.46,136803.21,23.85,28.65
d060521-0min-0Pi-M24KO,0min,0min,C2.fcs,C2,Experiment,None,,single cell,FSC-H,FSC-A,16076,39,412.205,53.587,53.587,476960,499370,461747,477544,429112,420819,112341.56,136461.47,23.55,27.33,110237.98,136885.49,23.87,28.66
d060521-0min-0Pi-M24KO,0min,0min,C2.fcs,C2,Experiment,None,,CTA1-GFP,BL1-H,,16064,39,411.897,53.547,53.547,6061,N/A,5493,N/A,5503,N/A,3083.57,N/A,50.88,N/A,2579.72,N/A,46.97,N/A
d060521-0min-0Pi-M24KO,0min,0min,C2.fcs,C2,Experiment,None,,single cell,FSC-H,FSC-W,16076,39,412.205,53.587,55.759,476960,87,461747,86,429112,86,112341.56,8.05,23.55,9.24,110237.98,7.41,23.87,8.62
d060521-0min-0Pi-M24KO,0min,0min,C2.fcs,C2,Experiment,None,,cell,FSC-H,FSC-W,28831,39,739.256,96.103,96.103,519235,106,492328,95,461715,86,144710.41,42.90,27.87,40.33,141512.68,17.79,28.74,18.73
d060521-0min-0Pi-M24KO,0min,0min,C3.fcs,C3,Experiment,None,N/A,All Events,N/A,N/A,30000,34,882.353,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
d060521-0min-0Pi-M24KO,0min,0min,C3.fcs,C3,Experiment,None,,cell,FSC-H,SSC-H,27522,34,809.471,91.740,91.740,516085,135117,488961,126756,443457,130087,153026.16,48387.48,29.65,35.81,150963.52,37468.27,30.87,29.56
d060521-0min-0Pi-M24KO,0min,0min,C3.fcs,C3,Experiment,None,,CTA1-GFP,FSC-H,FSC-A,15261,34,448.853,50.870,99.863,475522,496111,459494,474079,443458,428924,116959.53,140391.05,24.60,28.30,117389.30,143769.20,25.55,30.33
d060521-0min-0Pi-M24KO,0min,0min,C3.fcs,C3,Experiment,None,,single cell,FSC-H,FSC-A,15282,34,449.471,50.940,50.940,475910,496675,459692,474352,443458,428924,117399.60,141132.89,24.67,28.42,117586.49,143916.72,25.58,30.34
d060521-0min-0Pi-M24KO,0min,0min,C3.fcs,C3,Experiment,None,,CTA1-GFP,BL1-H,,15261,34,448.853,50.870,50.870,8809,N/A,7744,N/A,7977,N/A,4802.79,N/A,54.52,N/A,3811.76,N/A,49.22,N/A
d060521-0min-0Pi-M24KO,0min,0min,C3.fcs,C3,Experiment,None,,single cell,FSC-H,FSC-W,15282,34,449.471,50.940,55.526,475910,87,459692,86,443458,86,117399.60,8.24,24.67,9.48,117586.49,7.41,25.58,8.62
d060521-0min-0Pi-M24KO,0min,0min,C3.fcs,C3,Experiment,None,,cell,FSC-H,FSC-W,27522,34,809.471,91.740,91.740,516085,106,488961,95,443457,86,153026.16,43.04,29.65,40.47,150963.52,17.79,30.87,18.73
d060521-0min-0Pi-M24KO,0min,0min,C4.fcs,C4,Experiment,None,N/A,All Events,N/A,N/A,30000,35,857.143,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
