Sample,HB_strain,group_name,treat,time_1_min,time_2_min,time_3_min
A1,yH298,wt,0Pi,0,90,180
B1,yH299,wt,0Pi,0,90,180
C1,yH324,2V,0Pi,0,90,180
D1,yH325,2V,0Pi,0,90,180
E1,yH349,2V,0Pi,0,90,180
F1,yH328,4V,0Pi,0,90,180
G1,yH350,4V,0Pi,0,90,180
H1,yH329,6V,0Pi,0,90,180
A2,yH330,6V,0Pi,0,90,180
B2,yH351,6V,0Pi,0,90,180
C2,yH332,8V,0Pi,0,90,180
D2,yH333,8V,0Pi,0,90,180
E2,yH334,8V,0Pi,0,90,180
F2,yH343,PC,0Pi,0,90,180
G2,yH344,PC,0Pi,0,90,180
H2,,,,,,
A3,yH298,wt,2mMH2O2,0,90,180
B3,yH299,wt,2mMH2O2,0,90,180
C3,yH324,2V,2mMH2O2,0,90,180
D3,yH325,2V,2mMH2O2,0,90,180
E3,yH349,2V,2mMH2O2,0,90,180
F3,yH328,4V,2mMH2O2,0,90,180
G3,yH350,4V,2mMH2O2,0,90,180
H3,yH329,6V,2mMH2O2,0,90,180
A4,yH330,6V,2mMH2O2,0,90,180
B4,yH351,6V,2mMH2O2,0,90,180
C4,yH332,8V,2mMH2O2,0,90,180
D4,yH333,8V,2mMH2O2,0,90,180
E4,yH334,8V,2mMH2O2,0,90,180
F4,yH343,PC,2mMH2O2,0,90,180
G4,yH344,PC,2mMH2O2,0,90,180
H4,,,,,,
A5,yH298,wt,0Pi,30,120,210
B5,yH299,wt,0Pi,30,120,210
C5,yH324,2V,0Pi,30,120,210
D5,yH325,2V,0Pi,30,120,210
E5,yH349,2V,0Pi,30,120,210
F5,yH328,4V,0Pi,30,120,210
G5,yH350,4V,0Pi,30,120,210
H5,yH329,6V,0Pi,30,120,210
A6,yH330,6V,0Pi,30,120,210
B6,yH351,6V,0Pi,30,120,210
C6,yH332,8V,0Pi,30,120,210
D6,yH333,8V,0Pi,30,120,210
E6,yH334,8V,0Pi,30,120,210
F6,yH343,PC,0Pi,30,120,210
G6,yH344,PC,0Pi,30,120,210
H6,,,,,,
A7,yH298,wt,2mMH2O2,30,120,210
B7,yH299,wt,2mMH2O2,30,120,210
C7,yH324,2V,2mMH2O2,30,120,210
D7,yH325,2V,2mMH2O2,30,120,210
E7,yH349,2V,2mMH2O2,30,120,210
F7,yH328,4V,2mMH2O2,30,120,210
G7,yH350,4V,2mMH2O2,30,120,210
H7,yH329,6V,2mMH2O2,30,120,210
A8,yH330,6V,2mMH2O2,30,120,210
B8,yH351,6V,2mMH2O2,30,120,210
C8,yH332,8V,2mMH2O2,30,120,210
D8,yH333,8V,2mMH2O2,30,120,210
E8,yH334,8V,2mMH2O2,30,120,210
F8,yH343,PC,2mMH2O2,30,120,210
G8,yH344,PC,2mMH2O2,30,120,210
H8,,,,,,
A9,yH298,wt,0Pi,60,150,240
B9,yH299,wt,0Pi,60,150,240
C9,yH324,2V,0Pi,60,150,240
D9,yH325,2V,0Pi,60,150,240
E9,yH349,2V,0Pi,60,150,240
F9,yH328,4V,0Pi,60,150,240
G9,yH350,4V,0Pi,60,150,240
H9,yH329,6V,0Pi,60,150,240
A10,yH330,6V,0Pi,60,150,240
B10,yH351,6V,0Pi,60,150,240
C10,yH332,8V,0Pi,60,150,240
D10,yH333,8V,0Pi,60,150,240
E10,yH334,8V,0Pi,60,150,240
F10,yH343,PC,0Pi,60,150,240
G10,yH344,PC,0Pi,60,150,240
H10,,,,,,
A11,yH298,wt,2mMH2O2,60,150,240
B11,yH299,wt,2mMH2O2,60,150,240
C11,yH324,2V,2mMH2O2,60,150,240
D11,yH325,2V,2mMH2O2,60,150,240
E11,yH349,2V,2mMH2O2,60,150,240
F11,yH328,4V,2mMH2O2,60,150,240
G11,yH350,4V,2mMH2O2,60,150,240
H11,yH329,6V,2mMH2O2,60,150,240
A12,yH330,6V,2mMH2O2,60,150,240
B12,yH351,6V,2mMH2O2,60,150,240
C12,yH332,8V,2mMH2O2,60,150,240
D12,yH333,8V,2mMH2O2,60,150,240
E12,yH334,8V,2mMH2O2,60,150,240
F12,yH343,PC,2mMH2O2,60,150,240
G12,yH344,PC,2mMH2O2,60,150,240
H12,,,,,,
