"slope","Genotype","Treatment","rel_slope"
0.092273653509034,"WT","0Pi",1.03861681202224
0.07344668384507,"WT","0Pi",0.826703590113116
0.0992759302619568,"WT","0Pi",1.11743326809013
0.0940493282354993,"WT","0Pi",1.05860350977892
0.0911004229505785,"WT","0Pi",1.02541112506772
0.0829109418070715,"WT","0Pi",0.933231694927864
0.057777330884069,"IS_2.4","0Pi",0.65033197373171
0.0546826920473851,"IS_2.4","0Pi",0.615499236534388
0.0513996778979011,"IS_2.4","0Pi",0.578546178320138
0.0378029745414015,"IS_2.4","0Pi",0.425503959256413
0.0652277396784489,"IS_2.4","0Pi",0.73419252911249
0.0664165385118753,"IS_2.4","0Pi",0.74757344996644
0.045027632568049,"IS_2.4","0Pi",0.506823501750229
0.0287696888107212,"IS_2.4","0Pi",0.323826805801482
0.0455733916553238,"IS_2.4","0Pi",0.51296647476367
0.0357278036246584,"IS_2.6","0Pi",0.402146182469804
0.0407046400120379,"IS_2.6","0Pi",0.458164620518432
0.0332350025951391,"IS_2.6","0Pi",0.374087630978379
0.048397761795564,"IS_2.6","0Pi",0.544757112713644
0.046531185207044,"IS_2.6","0Pi",0.523747238800131
0.0517894993331278,"IS_2.6","0Pi",0.582933943201187
0.0411481515940717,"IS_2.6","0Pi",0.463156712712785
0.0409366425828241,"IS_2.6","0Pi",0.460776002655017
0.0477985445841522,"IS_2.6","0Pi",0.538012423995272
0.0161537810158365,"IS_2.8","0Pi",0.181824257550732
0.0150781529151112,"IS_2.8","0Pi",0.169717167537356
0.0169860656622118,"IS_2.8","0Pi",0.19119231433878
0.0207127628513353,"IS_2.8","0Pi",0.233139394645519
0.0200747242256838,"IS_2.8","0Pi",0.225957738580971
0.0219854717358792,"IS_2.8","0Pi",0.247464793001703
0.0159345270077014,"IS_2.8","0Pi",0.179356371103273
0.0129523799890365,"IS_2.8","0Pi",0.145789822996407
0.016815256027892,"IS_2.8","0Pi",0.189269709661135
0.00878516400016549,"IS_2.10","0Pi",0.0988843367522143
0.00722790843675347,"IS_2.10","0Pi",0.0813561285663691
0.00716824417603501,"IS_2.10","0Pi",0.0806845576259922
0.00820122290968806,"IS_2.10","0Pi",0.0923115934962957
0.00897550326801033,"IS_2.10","0Pi",0.101026763718675
0.00867455629200542,"IS_2.10","0Pi",0.0976393548872331
0.00724409896424416,"IS_2.10","0Pi",0.0815383664360952
0.00619831826466333,"IS_2.10","0Pi",0.0697672337783134
0.00737528934323428,"IS_2.10","0Pi",0.0830150234016869
0.443986056639638,"WT","2mMH2O2",0.765199066847405
0.734819858544723,"WT","2mMH2O2",1.26644398320766
0.53696116702751,"WT","2mMH2O2",0.925439386661275
0.720959964962007,"WT","2mMH2O2",1.24255679693796
0.48219491634282,"WT","2mMH2O2",0.831051098353677
0.562415710891444,"WT","2mMH2O2",0.969309667992019
0.411316046270305,"IS_2.4","2mMH2O2",0.708893106165403
0.395502474059163,"IS_2.4","2mMH2O2",0.681638802750846
0.392633414517915,"IS_2.4","2mMH2O2",0.676694049079279
0.207743770842561,"IS_2.4","2mMH2O2",0.358041288042326
0.490156019132859,"IS_2.4","2mMH2O2",0.844771863532927
0.483431445910355,"IS_2.4","2mMH2O2",0.833182226701194
0.315675930663628,"IS_2.4","2mMH2O2",0.544059715294287
0.314623828810017,"IS_2.4","2mMH2O2",0.542246443583223
0.33168255745372,"IS_2.4","2mMH2O2",0.571646743535343
0.095211031116623,"IS_2.6","2mMH2O2",0.164093874288382
0.265387140271026,"IS_2.6","2mMH2O2",0.457388219859157
0.0711752944304926,"IS_2.6","2mMH2O2",0.122668872290752
0.383498059387978,"IS_2.6","2mMH2O2",0.660949488825169
0.40993294632333,"IS_2.6","2mMH2O2",0.706509367367856
0.329323473921169,"IS_2.6","2mMH2O2",0.567580920992658
0.218045355139929,"IS_2.6","2mMH2O2",0.375795815630551
0.244781089582554,"IS_2.6","2mMH2O2",0.421874197464919
0.229906378672071,"IS_2.6","2mMH2O2",0.396237998448957
0.0948880665866714,"IS_2.8","2mMH2O2",0.163537252851181
0.0964330714091974,"IS_2.8","2mMH2O2",0.166200030726279
0.0979306594193912,"IS_2.8","2mMH2O2",0.168781086889608
0.132672633592442,"IS_2.8","2mMH2O2",0.228658026311678
0.142130534119604,"IS_2.8","2mMH2O2",0.244958485638025
0.148240793955368,"IS_2.8","2mMH2O2",0.255489368431755
0.083503225005181,"IS_2.8","2mMH2O2",0.143915757932406
0.0799349968623801,"IS_2.8","2mMH2O2",0.137766004343666
0.0896425420863041,"IS_2.8","2mMH2O2",0.15449672017503
0.0322267999138157,"IS_2.10","2mMH2O2",0.0555420983446449
0.0340424165622597,"IS_2.10","2mMH2O2",0.0586712690570251
0.0276907882125057,"IS_2.10","2mMH2O2",0.0477243935560719
0.0130202027051163,"IS_2.10","2mMH2O2",0.0224399996601821
0.0354287000274874,"IS_2.10","2mMH2O2",0.061060494570112
0.0266081829304549,"IS_2.10","2mMH2O2",0.0458585499350823
0.0144772165681677,"IS_2.10","2mMH2O2",0.024951127277182
0.0336884340272541,"IS_2.10","2mMH2O2",0.0580611888497396
0.0377688953268684,"IS_2.10","2mMH2O2",0.0650937637067157
