Plate,Experiment,Group,Filename,Sample,Workspace,Compensation Source,Plot Title,Gate,X Parameter,Y Parameter,Count,Volume,Concentration,%Total,%Gated,X Mean,Y Mean,X Median,Y Median,X Peak,Y Peak,X SD,Y SD,X %CV,Y %CV,X rSD,Y rSD,X %rCV,Y %rCV
d021024-0min-RS1-R3,0min,0min,A1.fcs,A1,Experiment,None,N/A,All Events,N/A,N/A,10000,12,833.333,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
d021024-0min-RS1-R3,0min,0min,A1.fcs,A1,Experiment,None,,cell,FSC-H,SSC-H,9576,12,798.000,95.760,95.760,512992,111543,492098,104121,418624,86976,148584.92,42799.34,28.96,38.37,142316.25,31807.70,28.92,30.55
d021024-0min-RS1-R3,0min,0min,A1.fcs,A1,Experiment,None,,CTA1-GFP,FSC-H,FSC-A,5301,12,441.750,53.010,99.962,474747,483979,464444,469042,437140,422740,112040.37,127283.00,23.60,26.30,114367.76,130815.73,24.62,27.89
d021024-0min-RS1-R3,0min,0min,A1.fcs,A1,Experiment,None,,single cell,FSC-H,FSC-A,5303,12,441.917,53.030,53.030,474882,484139,464481,469097,437140,422740,112233.80,127527.61,23.63,26.34,114406.31,130992.16,24.63,27.92
d021024-0min-RS1-R3,0min,0min,A1.fcs,A1,Experiment,None,,CTA1-GFP,BL1-H,,5301,12,441.750,53.010,53.010,2738,N/A,2483,N/A,2133,N/A,1395.48,N/A,50.98,N/A,1086.75,N/A,43.77,N/A
d021024-0min-RS1-R3,0min,0min,A1.fcs,A1,Experiment,None,,single cell,FSC-H,FSC-W,5303,12,441.917,53.030,55.378,474882,88,464481,87,437140,86,112233.80,7.76,23.63,8.83,114406.31,7.41,24.63,8.52
d021024-0min-RS1-R3,0min,0min,A1.fcs,A1,Experiment,None,,cell,FSC-H,FSC-W,9576,12,798.000,95.760,95.760,512992,104,492098,96,418624,86,148584.92,29.87,28.96,28.68,142316.25,17.79,28.92,18.53
d021024-0min-RS1-R3,0min,0min,A1.fcs,A1,Experiment,None,,Voltage,BL1-H,,3437,12,286.417,34.370,34.370,4538,N/A,4244,N/A,3260,N/A,1075.24,N/A,23.69,N/A,1006.69,N/A,23.72,N/A
d021024-0min-RS1-R3,0min,0min,A2.fcs,A2,Experiment,None,N/A,All Events,N/A,N/A,30000,35,857.143,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
d021024-0min-RS1-R3,0min,0min,A2.fcs,A2,Experiment,None,,cell,FSC-H,SSC-H,28007,35,800.200,93.357,93.357,539408,120640,515417,113809,490485,117711,150310.93,42987.73,27.87,35.63,149137.70,33693.57,28.94,29.61
d021024-0min-RS1-R3,0min,0min,A2.fcs,A2,Experiment,None,,CTA1-GFP,FSC-H,FSC-A,13740,35,392.571,45.800,99.935,485867,497502,475129,482028,461967,451679,109676.95,129743.64,22.57,26.08,110636.06,133696.42,23.29,27.74
d021024-0min-RS1-R3,0min,0min,A2.fcs,A2,Experiment,None,,single cell,FSC-H,FSC-A,13749,35,392.829,45.830,45.830,486076,497735,475240,482240,461967,451679,109984.49,130031.23,22.63,26.12,110747.25,133801.68,23.30,27.75
d021024-0min-RS1-R3,0min,0min,A2.fcs,A2,Experiment,None,,CTA1-GFP,BL1-H,,13740,35,392.571,45.800,45.800,1482,N/A,1341,N/A,1129,N/A,787.09,N/A,53.12,N/A,573.77,N/A,42.79,N/A
d021024-0min-RS1-R3,0min,0min,A2.fcs,A2,Experiment,None,,single cell,FSC-H,FSC-W,13749,35,392.829,45.830,49.091,486076,88,475240,86,461967,86,109984.49,7.90,22.63,9.03,110747.25,7.41,23.30,8.62
d021024-0min-RS1-R3,0min,0min,A2.fcs,A2,Experiment,None,,cell,FSC-H,FSC-W,28007,35,800.200,93.357,93.357,539408,110,515417,100,490485,86,150310.93,36.56,27.87,33.12,149137.70,22.24,28.94,22.24
d021024-0min-RS1-R3,0min,0min,A2.fcs,A2,Experiment,None,,Voltage,BL1-H,,2570,35,73.429,8.567,8.567,4303,N/A,4011,N/A,3305,N/A,973.90,N/A,22.63,N/A,810.98,N/A,20.22,N/A
d021024-0min-RS1-R3,0min,0min,B1.fcs,B1,Experiment,None,N/A,All Events,N/A,N/A,30000,32,937.500,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
d021024-0min-RS1-R3,0min,0min,B1.fcs,B1,Experiment,None,,cell,FSC-H,SSC-H,28207,32,881.469,94.023,94.023,526445,117931,500811,110355,490551,119808,151867.39,43707.37,28.85,37.06,146907.87,33635.75,29.33,30.48
d021024-0min-RS1-R3,0min,0min,B1.fcs,B1,Experiment,None,,CTA1-GFP,FSC-H,FSC-A,14642,32,457.563,48.807,99.966,473705,484051,463836,468403,421126,461964,109079.30,128063.82,23.03,26.46,110145.32,131568.89,23.75,28.09
d021024-0min-RS1-R3,0min,0min,B1.fcs,B1,Experiment,None,,single cell,FSC-H,FSC-A,14647,32,457.719,48.823,48.823,473827,484194,463874,468489,421126,461964,109264.53,128276.81,23.06,26.49,110192.76,131597.06,23.75,28.09
d021024-0min-RS1-R3,0min,0min,B1.fcs,B1,Experiment,None,,CTA1-GFP,BL1-H,,14642,32,457.563,48.807,48.807,2860,N/A,2634,N/A,3366,N/A,1315.44,N/A,46.00,N/A,1058.58,N/A,40.19,N/A
d021024-0min-RS1-R3,0min,0min,B1.fcs,B1,Experiment,None,,single cell,FSC-H,FSC-W,14647,32,457.719,48.823,51.927,473827,87,463874,86,421126,87,109264.53,7.79,23.06,8.94,110192.76,7.41,23.75,8.62
d021024-0min-RS1-R3,0min,0min,B1.fcs,B1,Experiment,None,,cell,FSC-H,FSC-W,28207,32,881.469,94.023,94.023,526445,108,500811,97,490551,87,151867.39,35.50,28.85,32.77,146907.87,20.76,29.33,21.40
d021024-0min-RS1-R3,0min,0min,B1.fcs,B1,Experiment,None,,Voltage,BL1-H,,11716,32,366.125,39.053,39.053,4554,N/A,4256,N/A,3392,N/A,1087.97,N/A,23.89,N/A,1012.62,N/A,23.79,N/A
d021024-0min-RS1-R3,0min,0min,B2.fcs,B2,Experiment,None,N/A,All Events,N/A,N/A,30000,34,882.353,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
d021024-0min-RS1-R3,0min,0min,B2.fcs,B2,Experiment,None,,cell,FSC-H,SSC-H,27451,34,807.382,91.503,91.503,540296,119393,518073,112965,492581,121910,154882.57,43476.16,28.67,36.41,152592.15,33835.90,29.45,29.95
d021024-0min-RS1-R3,0min,0min,B2.fcs,B2,Experiment,None,,CTA1-GFP,FSC-H,FSC-A,13450,34,395.588,44.833,99.926,488446,500526,479352,486236,496647,474114,110652.42,130807.32,22.65,26.13,112776.19,136646.05,23.53,28.10
d021024-0min-RS1-R3,0min,0min,B2.fcs,B2,Experiment,None,,single cell,FSC-H,FSC-A,13460,34,395.882,44.867,44.867,488681,500788,479443,486360,496647,474114,110971.77,131118.68,22.71,26.18,112849.58,136818.77,23.54,28.13
d021024-0min-RS1-R3,0min,0min,B2.fcs,B2,Experiment,None,,CTA1-GFP,BL1-H,,13450,34,395.588,44.833,44.833,1502,N/A,1334,N/A,1117,N/A,803.23,N/A,53.48,N/A,603.42,N/A,45.23,N/A
d021024-0min-RS1-R3,0min,0min,B2.fcs,B2,Experiment,None,,single cell,FSC-H,FSC-W,13460,34,395.882,44.867,49.033,488681,88,479443,86,496647,86,110971.77,7.99,22.71,9.11,112849.58,7.41,23.54,8.62
d021024-0min-RS1-R3,0min,0min,B2.fcs,B2,Experiment,None,,cell,FSC-H,FSC-W,27451,34,807.382,91.503,91.503,540296,110,518073,99,492581,86,154882.57,36.58,28.67,33.16,152592.15,22.24,29.45,22.46
d021024-0min-RS1-R3,0min,0min,B2.fcs,B2,Experiment,None,,Voltage,BL1-H,,2849,34,83.794,9.497,9.497,4344,N/A,4043,N/A,3350,N/A,991.26,N/A,22.82,N/A,815.43,N/A,20.17,N/A
d021024-0min-RS1-R3,0min,0min,C1.fcs,C1,Experiment,None,N/A,All Events,N/A,N/A,30000,36,833.333,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
d021024-0min-RS1-R3,0min,0min,C1.fcs,C1,Experiment,None,,cell,FSC-H,SSC-H,27996,36,777.667,93.320,93.320,527655,118409,500851,111013,459697,119772,151584.19,44013.51,28.73,37.17,146500.89,33471.18,29.25,30.15
