Plate,Experiment,Group,Filename,Sample,Workspace,Compensation Source,Plot Title,Gate,X Parameter,Y Parameter,Count,Volume,Concentration,%Total,%Gated,X Mean,Y Mean,X Median,Y Median,X Peak,Y Peak,X SD,Y SD,X %CV,Y %CV,X rSD,Y rSD,X %rCV,Y %rCV
d020724-0min-RS1-R1,0min,0min,A1.fcs,A1,Experiment,None,N/A,All Events,N/A,N/A,10000,11,909.091,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
d020724-0min-RS1-R1,0min,0min,A1.fcs,A1,Experiment,None,,cell,FSC-H,SSC-H,9576,11,870.545,95.760,95.760,527488,113865,505935,106726,445633,105391,151601.63,43478.92,28.74,38.18,149821.92,33342.19,29.61,31.24
d020724-0min-RS1-R1,0min,0min,A1.fcs,A1,Experiment,None,,CTA1-GFP,FSC-H,FSC-A,5366,11,487.818,53.660,99.926,483092,493670,473161,478902,449591,435450,114381.29,130253.40,23.68,26.38,116112.04,133763.13,24.54,27.93
d020724-0min-RS1-R1,0min,0min,A1.fcs,A1,Experiment,None,,single cell,FSC-H,FSC-A,5370,11,488.182,53.700,53.700,483354,493992,473213,479014,449591,435450,114741.46,130751.85,23.74,26.47,116234.36,134173.82,24.56,28.01
d020724-0min-RS1-R1,0min,0min,A1.fcs,A1,Experiment,None,,CTA1-GFP,BL1-H,,5366,11,487.818,53.660,53.660,3182,N/A,2929,N/A,3451,N/A,1488.31,N/A,46.77,N/A,1249.09,N/A,42.65,N/A
d020724-0min-RS1-R1,0min,0min,A1.fcs,A1,Experiment,None,,single cell,FSC-H,FSC-W,5370,11,488.182,53.700,56.078,483354,87,473213,85,449591,86,114741.46,8.19,23.74,9.44,116234.36,7.41,24.56,8.72
d020724-0min-RS1-R1,0min,0min,A1.fcs,A1,Experiment,None,,cell,FSC-H,FSC-W,9576,11,870.545,95.760,95.760,527488,104,505935,94,445633,86,151601.63,31.21,28.74,30.08,149821.92,17.79,29.61,18.93
d020724-0min-RS1-R1,0min,0min,A1.fcs,A1,Experiment,None,,Voltage,BL1-H,,4589,11,417.182,45.890,45.890,4644,N/A,4363,N/A,3939,N/A,1128.34,N/A,24.29,N/A,1119.36,N/A,25.66,N/A
d020724-0min-RS1-R1,0min,0min,A2.fcs,A2,Experiment,None,N/A,All Events,N/A,N/A,30000,38,789.474,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
d020724-0min-RS1-R1,0min,0min,A2.fcs,A2,Experiment,None,,cell,FSC-H,SSC-H,27889,38,733.921,92.963,92.963,553521,123724,529836,116837,474172,121916,155587.20,43837.07,28.11,35.43,161217.92,34328.12,30.43,29.38
d020724-0min-RS1-R1,0min,0min,A2.fcs,A2,Experiment,None,,CTA1-GFP,FSC-H,FSC-A,14083,38,370.605,46.943,99.929,488383,504666,480057,490419,488471,445532,108230.45,129997.14,22.16,25.76,110819.90,136182.74,23.08,27.77
d020724-0min-RS1-R1,0min,0min,A2.fcs,A2,Experiment,None,,single cell,FSC-H,FSC-A,14093,38,370.868,46.977,46.977,488623,504945,480181,490580,488471,445532,108583.47,130378.38,22.22,25.82,110905.89,136256.87,23.10,27.77
d020724-0min-RS1-R1,0min,0min,A2.fcs,A2,Experiment,None,,CTA1-GFP,BL1-H,,14083,38,370.605,46.943,46.943,1483,N/A,1379,N/A,1176,N/A,653.58,N/A,44.06,N/A,553.01,N/A,40.10,N/A
d020724-0min-RS1-R1,0min,0min,A2.fcs,A2,Experiment,None,,single cell,FSC-H,FSC-W,14093,38,370.868,46.977,50.532,488623,87,480181,86,488471,86,108583.47,8.36,22.22,9.61,110905.89,8.90,23.10,10.34
d020724-0min-RS1-R1,0min,0min,A2.fcs,A2,Experiment,None,,cell,FSC-H,FSC-W,27889,38,733.921,92.963,92.963,553521,109,529836,98,474172,86,155587.20,35.29,28.11,32.41,161217.92,22.24,30.43,22.69
d020724-0min-RS1-R1,0min,0min,A2.fcs,A2,Experiment,None,,Voltage,BL1-H,,2814,38,74.053,9.380,9.380,4280,N/A,3987,N/A,3395,N/A,949.25,N/A,22.18,N/A,759.09,N/A,19.04,N/A
d020724-0min-RS1-R1,0min,0min,B1.fcs,B1,Experiment,None,N/A,All Events,N/A,N/A,30000,36,833.333,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
d020724-0min-RS1-R1,0min,0min,B1.fcs,B1,Experiment,None,,cell,FSC-H,SSC-H,28426,36,789.611,94.753,94.753,534146,121469,508401,114217,431001,119790,153264.04,44167.36,28.69,36.36,154584.77,34132.42,30.41,29.88
